"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-Egger",1,1e-06,0.024,0.072,-0.117,0.166,0.283
"MVMR-Egger",1,1e-08,0.004,0.073,-0.14,0.147,0.287
"MVMR-Robust",1,0.01,0.028,0.062,-0.093,0.148,0.241
"MVMR-Robust",1,1e-04,0.033,0.067,-0.098,0.164,0.262
"MVMR-Robust",1,1e-06,0.02,0.071,-0.118,0.158,0.276
"MVMR-Robust",1,1e-08,0.009,0.077,-0.141,0.159,0.3
"MVMR-cML",1,0.01,-0.155,0.117,-0.384,0.074,0.458
"MVMR-cML",1,1e-04,-0.039,0.124,-0.281,0.204,0.485
"MVMR-cML",1,1e-06,-0.087,0.135,-0.353,0.178,0.531
"MVMR-cML",1,1e-08,-0.16,0.147,-0.448,0.128,0.576
"FLOW-MR",1,0.01,0.097,0.109,-0.116,0.311,0.427
"FLOW-MR",1,1e-04,0.107,0.111,-0.108,0.332,0.44
"FLOW-MR",1,1e-06,0.092,0.117,-0.136,0.321,0.457
"FLOW-MR",1,1e-08,0.081,0.12,-0.159,0.312,0.471
"MVMR-Horse",1,0.01,0.013,0.1,-0.183,0.211,0.394
"MVMR-Horse",1,1e-04,0.003,0.1,-0.194,0.195,0.389
"MVMR-Horse",1,1e-06,-0.013,0.101,-0.212,0.181,0.393
"MVMR-Horse",1,1e-08,-0.035,0.106,-0.244,0.168,0.412
"FLOW-MR-indirect",1,0.01,0.81,0,0.53,1.101,0.571
"FLOW-MR-indirect",1,1e-04,0.704,0,0.443,1.012,0.569
"FLOW-MR-indirect",1,1e-06,0.751,0,0.48,1.061,0.581
"FLOW-MR-indirect",1,1e-08,0.768,0,0.48,1.097,0.617
"MVMR-IVW",1,0.01,0.048,0.071,-0.091,0.187,0.278
"MVMR-IVW",1,1e-04,0,0.077,-0.151,0.152,0.303
"MVMR-IVW",1,1e-06,-0.01,0.085,-0.176,0.156,0.332
"MVMR-IVW",1,1e-08,0.004,0.085,-0.164,0.171,0.335
"GRAPPLE",1,0.01,0.165,0.155,-0.139,0.469,0.608
"GRAPPLE",1,1e-04,0.113,0.201,-0.281,0.508,0.789
"GRAPPLE",1,1e-06,0.058,0.187,-0.308,0.424,0.732
"GRAPPLE",1,1e-08,0.112,0.201,-0.281,0.506,0.787
"MVMR-Egger",1,0.01,0.034,0.071,-0.105,0.174,0.279
"MVMR-Egger",1,1e-04,-0.009,0.077,-0.16,0.143,0.303
"MVMR-Egger",1,1e-06,-0.018,0.085,-0.186,0.149,0.335
"MVMR-Egger",1,1e-08,-0.006,0.085,-0.173,0.161,0.334
"MVMR-Robust",1,0.01,0.046,0.072,-0.095,0.188,0.283
"MVMR-Robust",1,1e-04,0.004,0.068,-0.129,0.138,0.267
"MVMR-Robust",1,1e-06,-0.01,0.073,-0.154,0.133,0.287
"MVMR-Robust",1,1e-08,0.011,0.074,-0.133,0.155,0.288
"MVMR-cML",1,0.01,0.121,0.118,-0.111,0.352,0.463
"MVMR-cML",1,1e-04,0,0.121,-0.237,0.237,0.474
"MVMR-cML",1,1e-06,-0.092,0.135,-0.356,0.172,0.528
"MVMR-cML",1,1e-08,0.046,0.132,-0.213,0.304,0.517
"FLOW-MR",1,0.01,0.156,0.139,-0.113,0.436,0.549
"FLOW-MR",1,1e-04,0.062,0.149,-0.227,0.358,0.585
"FLOW-MR",1,1e-06,0.038,0.148,-0.255,0.329,0.584
"FLOW-MR",1,1e-08,0.075,0.151,-0.218,0.372,0.59
"MVMR-Horse",1,0.01,0.022,0.124,-0.225,0.27,0.495
"MVMR-Horse",1,1e-04,-0.033,0.119,-0.259,0.203,0.462
"MVMR-Horse",1,1e-06,-0.064,0.123,-0.319,0.166,0.485
"MVMR-Horse",1,1e-08,-0.004,0.114,-0.223,0.224,0.447
"FLOW-MR-indirect",1,0.01,0.764,0,0.494,1.059,0.565
"FLOW-MR-indirect",1,1e-04,0.899,0,0.582,1.272,0.69
"FLOW-MR-indirect",1,1e-06,0.848,0,0.53,1.166,0.636
"FLOW-MR-indirect",1,1e-08,0.854,0,0.513,1.217,0.704
"MVMR-IVW",1,0.01,0.021,0.063,-0.101,0.144,0.245
"MVMR-IVW",1,1e-04,0.035,0.067,-0.097,0.167,0.264
"MVMR-IVW",1,1e-06,0.005,0.074,-0.141,0.15,0.291
"MVMR-IVW",1,1e-08,-0.014,0.078,-0.166,0.138,0.304
"GRAPPLE",1,0.01,0.071,0.128,-0.18,0.323,0.503
"GRAPPLE",1,1e-04,0.143,0.137,-0.125,0.411,0.536
"GRAPPLE",1,1e-06,0.056,0.135,-0.209,0.32,0.529
"GRAPPLE",1,1e-08,-0.003,0.134,-0.265,0.26,0.525
"MVMR-Egger",1,0.01,0.024,0.062,-0.098,0.146,0.244
"MVMR-Egger",1,1e-04,0.034,0.067,-0.098,0.165,0.263
"MVMR-Egger",1,1e-06,0.003,0.074,-0.143,0.148,0.291
"MVMR-Egger",1,1e-08,-0.012,0.077,-0.164,0.139,0.303
"MVMR-Robust",1,0.01,0.007,0.059,-0.108,0.122,0.23
"MVMR-Robust",1,1e-04,0.02,0.065,-0.107,0.147,0.254
"MVMR-Robust",1,1e-06,-0.008,0.069,-0.144,0.128,0.272
"MVMR-Robust",1,1e-08,-0.033,0.071,-0.172,0.106,0.278
"MVMR-cML",1,0.01,0.222,0.075,0.075,0.369,0.294
"MVMR-cML",1,1e-04,0.291,0.098,0.099,0.482,0.383
"MVMR-cML",1,1e-06,0.246,0.101,0.047,0.445,0.398
"MVMR-cML",1,1e-08,0.166,0.099,-0.028,0.361,0.389
"FLOW-MR",1,0.01,0.072,0.102,-0.127,0.275,0.402
"FLOW-MR",1,1e-04,0.099,0.109,-0.112,0.32,0.432
"FLOW-MR",1,1e-06,0.062,0.118,-0.164,0.295,0.459
"FLOW-MR",1,1e-08,0.023,0.119,-0.207,0.262,0.469
"MVMR-Horse",1,0.01,0.013,0.084,-0.151,0.174,0.325
"MVMR-Horse",1,1e-04,0.036,0.087,-0.135,0.202,0.337
"MVMR-Horse",1,1e-06,-0.005,0.091,-0.189,0.17,0.359
"MVMR-Horse",1,1e-08,-0.044,0.093,-0.229,0.137,0.366
"FLOW-MR-indirect",1,0.01,0.633,0,0.378,0.889,0.511
"FLOW-MR-indirect",1,1e-04,0.681,0,0.399,0.913,0.514
"FLOW-MR-indirect",1,1e-06,0.729,0,0.482,1.001,0.519
"FLOW-MR-indirect",1,1e-08,0.741,0,0.49,1.018,0.528
"MVMR-IVW",1,0.01,0.016,0.059,-0.1,0.132,0.232
"MVMR-IVW",1,1e-04,0.021,0.066,-0.108,0.151,0.259
"MVMR-IVW",1,1e-06,0.016,0.069,-0.12,0.153,0.273
"MVMR-IVW",1,1e-08,-0.012,0.071,-0.152,0.127,0.279
"GRAPPLE",1,0.01,0.068,0.1,-0.128,0.264,0.392
"GRAPPLE",1,1e-04,0.084,0.115,-0.143,0.31,0.453
"GRAPPLE",1,1e-06,0.067,0.107,-0.144,0.277,0.421
"GRAPPLE",1,1e-08,0.014,0.107,-0.195,0.224,0.419
"MVMR-Egger",1,0.01,0.01,0.059,-0.106,0.126,0.232
"MVMR-Egger",1,1e-04,0.016,0.066,-0.114,0.145,0.259
"MVMR-Egger",1,1e-06,0.015,0.07,-0.122,0.152,0.274
"MVMR-Egger",1,1e-08,-0.015,0.071,-0.154,0.124,0.278
"MVMR-Robust",1,0.01,0.029,0.047,-0.062,0.121,0.183
"MVMR-Robust",1,1e-04,0.038,0.051,-0.062,0.138,0.2
"MVMR-Robust",1,1e-06,0.03,0.055,-0.078,0.138,0.216
"MVMR-Robust",1,1e-08,-0.003,0.059,-0.118,0.112,0.23
"MVMR-cML",1,0.01,0.251,0.09,0.073,0.428,0.355
"MVMR-cML",1,1e-04,0.326,0.108,0.114,0.538,0.424
"MVMR-cML",1,1e-06,0.268,0.112,0.049,0.487,0.438
"MVMR-cML",1,1e-08,0.1,0.079,-0.056,0.255,0.311
"FLOW-MR",1,0.01,0.068,0.097,-0.12,0.263,0.383
"FLOW-MR",1,1e-04,0.077,0.108,-0.128,0.292,0.42
"FLOW-MR",1,1e-06,0.059,0.106,-0.148,0.264,0.412
"FLOW-MR",1,1e-08,0.013,0.111,-0.203,0.236,0.439
"MVMR-Horse",1,0.01,0.023,0.074,-0.121,0.169,0.29
"MVMR-Horse",1,1e-04,0.043,0.083,-0.12,0.202,0.322
"MVMR-Horse",1,1e-06,0.029,0.082,-0.131,0.193,0.324
"MVMR-Horse",1,1e-08,-0.032,0.086,-0.2,0.134,0.334
"FLOW-MR-indirect",1,0.01,0.738,0,0.502,1.03,0.528
"FLOW-MR-indirect",1,1e-04,0.749,0,0.455,1.029,0.574
"FLOW-MR-indirect",1,1e-06,0.82,0,0.553,1.106,0.553
"FLOW-MR-indirect",1,1e-08,0.84,0,0.532,1.164,0.632
"MVMR-IVW",1,0.01,0.052,0.069,-0.083,0.186,0.269
"MVMR-IVW",1,1e-04,0.04,0.073,-0.104,0.184,0.288
"MVMR-IVW",1,1e-06,0.055,0.076,-0.093,0.203,0.296
"MVMR-IVW",1,1e-08,0.005,0.077,-0.146,0.155,0.301
"GRAPPLE",1,0.01,0.06,0.165,-0.264,0.384,0.648
"GRAPPLE",1,1e-04,0.08,0.171,-0.255,0.416,0.671
"GRAPPLE",1,1e-06,0.152,0.145,-0.133,0.437,0.57
"GRAPPLE",1,1e-08,0.059,0.162,-0.258,0.376,0.634
"MVMR-Egger",1,0.01,0.05,0.068,-0.084,0.184,0.268
"MVMR-Egger",1,1e-04,0.044,0.073,-0.099,0.187,0.286
"MVMR-Egger",1,1e-06,0.057,0.075,-0.091,0.205,0.296
"MVMR-Egger",1,1e-08,0.014,0.077,-0.136,0.164,0.3
"MVMR-Robust",1,0.01,0.08,0.065,-0.047,0.208,0.255
"MVMR-Robust",1,1e-04,0.068,0.069,-0.066,0.203,0.269
"MVMR-Robust",1,1e-06,0.071,0.069,-0.064,0.207,0.271
"MVMR-Robust",1,1e-08,0.024,0.072,-0.117,0.164,0.281
"MVMR-cML",1,0.01,-0.201,0.13,-0.456,0.055,0.511
"MVMR-cML",1,1e-04,0.452,0.103,0.25,0.655,0.405
"MVMR-cML",1,1e-06,0.475,0.128,0.223,0.727,0.504
"MVMR-cML",1,1e-08,0.351,0.096,0.162,0.54,0.378
"FLOW-MR",1,0.01,0.173,0.129,-0.081,0.426,0.507
"FLOW-MR",1,1e-04,0.149,0.123,-0.089,0.4,0.489
"FLOW-MR",1,1e-06,0.146,0.122,-0.089,0.389,0.478
"FLOW-MR",1,1e-08,0.092,0.119,-0.14,0.332,0.472
"MVMR-Horse",1,0.01,0.143,0.103,-0.058,0.357,0.415
"MVMR-Horse",1,1e-04,0.11,0.1,-0.092,0.311,0.403
"MVMR-Horse",1,1e-06,0.107,0.096,-0.094,0.292,0.386
"MVMR-Horse",1,1e-08,0.026,0.098,-0.175,0.217,0.392
"FLOW-MR-indirect",1,0.01,0.763,0,0.498,1.054,0.556
"FLOW-MR-indirect",1,1e-04,0.749,0,0.473,1.009,0.536
"FLOW-MR-indirect",1,1e-06,0.736,0,0.483,1.002,0.519
"FLOW-MR-indirect",1,1e-08,0.678,0,0.422,0.969,0.547
"MVMR-IVW",1,0.01,0.004,0.067,-0.127,0.136,0.263
"MVMR-IVW",1,1e-04,-0.016,0.072,-0.157,0.125,0.282
"MVMR-IVW",1,1e-06,0.009,0.075,-0.137,0.156,0.293
"MVMR-IVW",1,1e-08,0.017,0.077,-0.134,0.168,0.302
"GRAPPLE",1,0.01,0.745,1.027,-1.267,2.757,4.024
"GRAPPLE",1,1e-04,0.272,0.424,-0.558,1.103,1.661
"GRAPPLE",1,1e-06,0.699,1.16,-1.575,2.972,4.547
"GRAPPLE",1,1e-08,1.306,2.449,-3.495,6.106,9.601
"MVMR-Egger",1,0.01,0.001,0.067,-0.131,0.132,0.263
"MVMR-Egger",1,1e-04,-0.017,0.072,-0.158,0.125,0.283
"MVMR-Egger",1,1e-06,0.009,0.075,-0.138,0.157,0.295
"MVMR-Egger",1,1e-08,0.019,0.077,-0.132,0.171,0.303
"MVMR-Robust",1,0.01,0.044,0.07,-0.094,0.182,0.276
"MVMR-Robust",1,1e-04,0.022,0.075,-0.125,0.17,0.295
"MVMR-Robust",1,1e-06,0.021,0.08,-0.135,0.177,0.312
"MVMR-Robust",1,1e-08,0.024,0.086,-0.144,0.192,0.336
"MVMR-cML",1,0.01,0.391,0.11,0.175,0.608,0.433
"MVMR-cML",1,1e-04,0.354,0.12,0.119,0.588,0.469
"MVMR-cML",1,1e-06,0.301,0.118,0.069,0.533,0.464
"MVMR-cML",1,1e-08,0.295,0.132,0.035,0.554,0.519
"FLOW-MR",1,0.01,0.166,0.123,-0.069,0.416,0.485
"FLOW-MR",1,1e-04,0.112,0.123,-0.123,0.362,0.485
"FLOW-MR",1,1e-06,0.14,0.126,-0.101,0.395,0.496
"FLOW-MR",1,1e-08,0.156,0.136,-0.102,0.428,0.53
"MVMR-Horse",1,0.01,0.093,0.099,-0.108,0.285,0.393
"MVMR-Horse",1,1e-04,0.06,0.105,-0.144,0.262,0.406
"MVMR-Horse",1,1e-06,0.062,0.107,-0.157,0.269,0.426
"MVMR-Horse",1,1e-08,0.08,0.114,-0.145,0.291,0.436
"FLOW-MR-indirect",1,0.01,0.616,0,0.36,0.871,0.511
"FLOW-MR-indirect",1,1e-04,0.633,0,0.347,0.912,0.565
"FLOW-MR-indirect",1,1e-06,0.662,0,0.38,0.93,0.55
"FLOW-MR-indirect",1,1e-08,0.661,0,0.346,0.996,0.65
"MVMR-IVW",1,0.01,0.049,0.071,-0.09,0.189,0.279
"MVMR-IVW",1,1e-04,0.005,0.078,-0.149,0.159,0.308
"MVMR-IVW",1,1e-06,-0.041,0.082,-0.201,0.119,0.32
"MVMR-IVW",1,1e-08,-0.033,0.083,-0.196,0.13,0.326
"GRAPPLE",1,0.01,0.05,0.154,-0.252,0.352,0.604
"GRAPPLE",1,1e-04,-0.039,0.175,-0.381,0.303,0.684
"GRAPPLE",1,1e-06,-0.084,0.147,-0.372,0.203,0.575
"GRAPPLE",1,1e-08,-0.085,0.149,-0.377,0.206,0.583
"MVMR-Egger",1,0.01,0.049,0.071,-0.09,0.189,0.279
"MVMR-Egger",1,1e-04,0.005,0.079,-0.149,0.159,0.308
"MVMR-Egger",1,1e-06,-0.04,0.082,-0.201,0.121,0.322
"MVMR-Egger",1,1e-08,-0.033,0.083,-0.196,0.13,0.326
"MVMR-Robust",1,0.01,0.033,0.054,-0.074,0.14,0.214
"MVMR-Robust",1,1e-04,-0.004,0.054,-0.11,0.102,0.212
"MVMR-Robust",1,1e-06,-0.034,0.054,-0.139,0.071,0.21
"MVMR-Robust",1,1e-08,-0.033,0.056,-0.143,0.077,0.22
"MVMR-cML",1,0.01,-0.098,0.12,-0.333,0.137,0.47
"MVMR-cML",1,1e-04,-0.243,0.13,-0.497,0.012,0.509
"MVMR-cML",1,1e-06,-0.244,0.119,-0.478,-0.01,0.468
"MVMR-cML",1,1e-08,-0.115,0.13,-0.369,0.139,0.508
"FLOW-MR",1,0.01,0.013,0.133,-0.248,0.27,0.518
"FLOW-MR",1,1e-04,-0.048,0.138,-0.322,0.217,0.539
"FLOW-MR",1,1e-06,-0.071,0.131,-0.335,0.18,0.515
"FLOW-MR",1,1e-08,-0.069,0.138,-0.345,0.205,0.55
"MVMR-Horse",1,0.01,0.032,0.109,-0.176,0.244,0.42
"MVMR-Horse",1,1e-04,-0.025,0.113,-0.247,0.183,0.43
"MVMR-Horse",1,1e-06,-0.074,0.105,-0.273,0.142,0.415
"MVMR-Horse",1,1e-08,-0.063,0.11,-0.284,0.148,0.432
"FLOW-MR-indirect",1,0.01,0.886,0,0.608,1.244,0.636
"FLOW-MR-indirect",1,1e-04,0.929,0,0.657,1.266,0.609
"FLOW-MR-indirect",1,1e-06,0.925,0,0.597,1.217,0.62
"FLOW-MR-indirect",1,1e-08,0.904,0,0.566,1.227,0.661
"MVMR-IVW",1,0.01,0.15,0.064,0.025,0.276,0.251
"MVMR-IVW",1,1e-04,0.142,0.071,0.003,0.28,0.277
"MVMR-IVW",1,1e-06,0.162,0.075,0.016,0.308,0.292
"MVMR-IVW",1,1e-08,0.135,0.076,-0.014,0.285,0.299
"GRAPPLE",1,0.01,0.262,0.128,0.01,0.513,0.503
"GRAPPLE",1,1e-04,0.255,0.154,-0.047,0.558,0.605
"GRAPPLE",1,1e-06,0.279,0.146,-0.008,0.566,0.574
"GRAPPLE",1,1e-08,0.198,0.141,-0.077,0.474,0.551
"MVMR-Egger",1,0.01,0.139,0.065,0.012,0.266,0.254
"MVMR-Egger",1,1e-04,0.126,0.071,-0.013,0.266,0.279
"MVMR-Egger",1,1e-06,0.152,0.075,0.005,0.299,0.294
"MVMR-Egger",1,1e-08,0.128,0.076,-0.022,0.277,0.299
"MVMR-Robust",1,0.01,0.112,0.066,-0.017,0.241,0.258
"MVMR-Robust",1,1e-04,0.093,0.075,-0.053,0.239,0.292
"MVMR-Robust",1,1e-06,0.112,0.078,-0.04,0.265,0.305
"MVMR-Robust",1,1e-08,0.086,0.081,-0.072,0.244,0.316
"MVMR-cML",1,0.01,0.371,0.109,0.157,0.585,0.428
"MVMR-cML",1,1e-04,0.177,0.13,-0.078,0.433,0.511
"MVMR-cML",1,1e-06,0.34,0.134,0.078,0.602,0.524
"MVMR-cML",1,1e-08,0.232,0.144,-0.05,0.514,0.564
"FLOW-MR",1,0.01,0.234,0.126,-0.013,0.483,0.496
"FLOW-MR",1,1e-04,0.215,0.13,-0.029,0.483,0.512
"FLOW-MR",1,1e-06,0.244,0.14,-0.025,0.527,0.552
"FLOW-MR",1,1e-08,0.207,0.138,-0.058,0.486,0.544
"MVMR-Horse",1,0.01,0.167,0.104,-0.038,0.369,0.407
"MVMR-Horse",1,1e-04,0.119,0.116,-0.098,0.353,0.451
"MVMR-Horse",1,1e-06,0.147,0.115,-0.079,0.378,0.457
"MVMR-Horse",1,1e-08,0.103,0.117,-0.128,0.34,0.468
"FLOW-MR-indirect",1,0.01,0.781,0,0.497,1.065,0.568
"FLOW-MR-indirect",1,1e-04,0.731,0,0.458,1.049,0.591
"FLOW-MR-indirect",1,1e-06,0.832,0,0.519,1.217,0.698
"FLOW-MR-indirect",1,1e-08,0.729,0,0.43,1.111,0.681
"MVMR-IVW",1,0.01,-0.014,0.067,-0.146,0.118,0.264
"MVMR-IVW",1,1e-04,-0.008,0.072,-0.149,0.133,0.282
"MVMR-IVW",1,1e-06,0.011,0.075,-0.136,0.158,0.294
"MVMR-IVW",1,1e-08,-0.023,0.077,-0.173,0.127,0.3
"GRAPPLE",1,0.01,-0.039,0.114,-0.262,0.184,0.446
"GRAPPLE",1,1e-04,-0.052,0.118,-0.284,0.18,0.464
"GRAPPLE",1,1e-06,-0.018,0.114,-0.241,0.206,0.447
"GRAPPLE",1,1e-08,-0.071,0.115,-0.296,0.154,0.45
"MVMR-Egger",1,0.01,-0.02,0.067,-0.151,0.111,0.262
"MVMR-Egger",1,1e-04,-0.014,0.072,-0.154,0.127,0.281
"MVMR-Egger",1,1e-06,0.008,0.075,-0.139,0.156,0.295
"MVMR-Egger",1,1e-08,-0.018,0.076,-0.167,0.132,0.299
"MVMR-Robust",1,0.01,-0.038,0.071,-0.178,0.102,0.28
"MVMR-Robust",1,1e-04,-0.046,0.078,-0.198,0.107,0.305
"MVMR-Robust",1,1e-06,-0.024,0.081,-0.184,0.135,0.319
"MVMR-Robust",1,1e-08,-0.064,0.087,-0.235,0.106,0.341
"MVMR-cML",1,0.01,-0.155,0.097,-0.345,0.035,0.38
"MVMR-cML",1,1e-04,-0.25,0.115,-0.476,-0.024,0.452
"MVMR-cML",1,1e-06,-0.107,0.095,-0.293,0.078,0.371
"MVMR-cML",1,1e-08,-0.241,0.114,-0.464,-0.018,0.446
"FLOW-MR",1,0.01,-0.046,0.114,-0.268,0.183,0.451
"FLOW-MR",1,1e-04,-0.025,0.122,-0.261,0.214,0.475
"FLOW-MR",1,1e-06,0.001,0.122,-0.235,0.245,0.48
"FLOW-MR",1,1e-08,-0.03,0.124,-0.272,0.216,0.488
"MVMR-Horse",1,0.01,-0.092,0.099,-0.282,0.101,0.383
"MVMR-Horse",1,1e-04,-0.108,0.102,-0.31,0.089,0.399
"MVMR-Horse",1,1e-06,-0.051,0.102,-0.249,0.146,0.395
"MVMR-Horse",1,1e-08,-0.113,0.102,-0.312,0.093,0.405
"FLOW-MR-indirect",1,0.01,0.851,0,0.648,1.083,0.435
"FLOW-MR-indirect",1,1e-04,0.796,0,0.574,1.051,0.477
"FLOW-MR-indirect",1,1e-06,0.812,0,0.563,1.12,0.557
"FLOW-MR-indirect",1,1e-08,0.825,0,0.546,1.113,0.567
"MVMR-IVW",1,0.01,0.007,0.069,-0.129,0.142,0.271
"MVMR-IVW",1,1e-04,0.013,0.073,-0.131,0.157,0.288
"MVMR-IVW",1,1e-06,0.008,0.077,-0.144,0.159,0.303
"MVMR-IVW",1,1e-08,-0.003,0.08,-0.161,0.154,0.315
"GRAPPLE",1,0.01,0.068,0.157,-0.239,0.376,0.615
"GRAPPLE",1,1e-04,0.087,0.153,-0.213,0.388,0.601
"GRAPPLE",1,1e-06,0.048,0.156,-0.258,0.354,0.612
"GRAPPLE",1,1e-08,0.014,0.16,-0.299,0.327,0.626
"MVMR-Egger",1,0.01,0.013,0.069,-0.123,0.149,0.272
"MVMR-Egger",1,1e-04,0.016,0.074,-0.128,0.16,0.288
"MVMR-Egger",1,1e-06,0.008,0.078,-0.144,0.16,0.304
"MVMR-Egger",1,1e-08,-0.001,0.081,-0.159,0.157,0.316
"MVMR-Robust",1,0.01,0.009,0.074,-0.137,0.155,0.292
"MVMR-Robust",1,1e-04,0.019,0.075,-0.128,0.166,0.294
"MVMR-Robust",1,1e-06,-0.001,0.078,-0.153,0.151,0.304
"MVMR-Robust",1,1e-08,-0.021,0.081,-0.179,0.138,0.317
"MVMR-cML",1,0.01,0.14,0.146,-0.146,0.425,0.571
"MVMR-cML",1,1e-04,0.197,0.148,-0.093,0.487,0.58
"MVMR-cML",1,1e-06,0.097,0.149,-0.194,0.389,0.583
"MVMR-cML",1,1e-08,0.061,0.152,-0.236,0.358,0.594
"FLOW-MR",1,0.01,0.088,0.143,-0.187,0.377,0.564
"FLOW-MR",1,1e-04,0.066,0.145,-0.217,0.352,0.569
"FLOW-MR",1,1e-06,0.051,0.144,-0.226,0.334,0.56
"FLOW-MR",1,1e-08,0.031,0.146,-0.254,0.318,0.572
"MVMR-Horse",1,0.01,-0.014,0.123,-0.266,0.217,0.483
"MVMR-Horse",1,1e-04,0.019,0.119,-0.226,0.249,0.475
"MVMR-Horse",1,1e-06,-0.017,0.116,-0.247,0.208,0.455
"MVMR-Horse",1,1e-08,-0.051,0.116,-0.275,0.182,0.457
"FLOW-MR-indirect",1,0.01,0.93,0,0.643,1.258,0.615
"FLOW-MR-indirect",1,1e-04,0.991,0,0.73,1.28,0.55
"FLOW-MR-indirect",1,1e-06,0.999,0,0.71,1.325,0.615
"FLOW-MR-indirect",1,1e-08,1.018,0,0.71,1.348,0.638
"MVMR-IVW",1,0.01,0.064,0.067,-0.067,0.196,0.263
"MVMR-IVW",1,1e-04,0.036,0.074,-0.11,0.182,0.292
"MVMR-IVW",1,1e-06,-0.023,0.08,-0.179,0.133,0.312
"MVMR-IVW",1,1e-08,-0.048,0.079,-0.203,0.108,0.311
"GRAPPLE",1,0.01,0.179,0.12,-0.057,0.415,0.472
"GRAPPLE",1,1e-04,0.12,0.14,-0.154,0.393,0.547
"GRAPPLE",1,1e-06,0.02,0.141,-0.257,0.296,0.553
"GRAPPLE",1,1e-08,-0.006,0.143,-0.287,0.275,0.562
"MVMR-Egger",1,0.01,0.061,0.067,-0.07,0.192,0.262
"MVMR-Egger",1,1e-04,0.034,0.074,-0.112,0.179,0.291
"MVMR-Egger",1,1e-06,-0.024,0.08,-0.18,0.133,0.313
"MVMR-Egger",1,1e-08,-0.047,0.08,-0.203,0.109,0.312
"MVMR-Robust",1,0.01,0.091,0.062,-0.03,0.211,0.241
"MVMR-Robust",1,1e-04,0.059,0.066,-0.071,0.189,0.26
"MVMR-Robust",1,1e-06,0,0.068,-0.133,0.134,0.267
"MVMR-Robust",1,1e-08,-0.022,0.072,-0.163,0.12,0.283
"MVMR-cML",1,0.01,-0.07,0.108,-0.282,0.141,0.423
"MVMR-cML",1,1e-04,-0.236,0.116,-0.463,-0.009,0.454
"MVMR-cML",1,1e-06,-0.406,0.132,-0.664,-0.147,0.517
"MVMR-cML",1,1e-08,-0.313,0.116,-0.541,-0.085,0.456
"FLOW-MR",1,0.01,0.155,0.117,-0.076,0.385,0.461
"FLOW-MR",1,1e-04,0.11,0.125,-0.128,0.36,0.488
"FLOW-MR",1,1e-06,0.035,0.134,-0.23,0.296,0.526
"FLOW-MR",1,1e-08,0.01,0.133,-0.251,0.27,0.521
"MVMR-Horse",1,0.01,0.124,0.101,-0.076,0.327,0.403
"MVMR-Horse",1,1e-04,0.063,0.107,-0.143,0.282,0.425
"MVMR-Horse",1,1e-06,-0.036,0.105,-0.24,0.17,0.41
"MVMR-Horse",1,1e-08,-0.072,0.102,-0.262,0.129,0.391
"FLOW-MR-indirect",1,0.01,0.79,0,0.564,1.049,0.485
"FLOW-MR-indirect",1,1e-04,0.904,0,0.646,1.179,0.533
"FLOW-MR-indirect",1,1e-06,0.921,0,0.654,1.244,0.59
"FLOW-MR-indirect",1,1e-08,0.865,0,0.495,1.195,0.7
"MVMR-IVW",1,0.01,-0.027,0.068,-0.16,0.106,0.266
"MVMR-IVW",1,1e-04,-0.05,0.071,-0.19,0.09,0.28
"MVMR-IVW",1,1e-06,-0.053,0.076,-0.202,0.096,0.298
"MVMR-IVW",1,1e-08,-0.059,0.077,-0.21,0.092,0.302
"GRAPPLE",1,0.01,0.033,0.141,-0.244,0.31,0.554
"GRAPPLE",1,1e-04,-0.033,0.131,-0.289,0.223,0.512
"GRAPPLE",1,1e-06,-0.041,0.127,-0.289,0.208,0.497
"GRAPPLE",1,1e-08,-0.027,0.136,-0.295,0.24,0.535
"MVMR-Egger",1,0.01,-0.028,0.068,-0.161,0.105,0.266
"MVMR-Egger",1,1e-04,-0.054,0.071,-0.192,0.085,0.277
"MVMR-Egger",1,1e-06,-0.056,0.076,-0.205,0.093,0.298
"MVMR-Egger",1,1e-08,-0.053,0.076,-0.201,0.096,0.297
"MVMR-Robust",1,0.01,-0.026,0.063,-0.15,0.098,0.248
"MVMR-Robust",1,1e-04,-0.047,0.061,-0.166,0.072,0.238
"MVMR-Robust",1,1e-06,-0.045,0.064,-0.171,0.081,0.252
"MVMR-Robust",1,1e-08,-0.057,0.066,-0.185,0.072,0.257
"MVMR-cML",1,0.01,0.136,0.133,-0.125,0.397,0.522
"MVMR-cML",1,1e-04,0.055,0.123,-0.187,0.297,0.484
"MVMR-cML",1,1e-06,0.011,0.126,-0.236,0.257,0.493
"MVMR-cML",1,1e-08,-0.04,0.128,-0.29,0.211,0.501
"FLOW-MR",1,0.01,0.019,0.128,-0.228,0.28,0.508
"FLOW-MR",1,1e-04,-0.026,0.124,-0.268,0.222,0.49
"FLOW-MR",1,1e-06,-0.028,0.127,-0.273,0.226,0.499
"FLOW-MR",1,1e-08,-0.03,0.133,-0.286,0.232,0.518
"MVMR-Horse",1,0.01,-0.059,0.106,-0.264,0.15,0.414
"MVMR-Horse",1,1e-04,-0.084,0.096,-0.269,0.108,0.377
"MVMR-Horse",1,1e-06,-0.08,0.099,-0.274,0.112,0.386
"MVMR-Horse",1,1e-08,-0.095,0.098,-0.286,0.096,0.382
"FLOW-MR-indirect",1,0.01,0.753,0,0.498,1.02,0.522
