"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-Robust",1,1e-04,-0.016,0.071,-0.154,0.122,0.276
"MVMR-Robust",1,1e-06,0.031,0.077,-0.119,0.182,0.301
"MVMR-Robust",1,1e-08,0.053,0.085,-0.115,0.22,0.335
"MVMR-cML",1,0.01,-0.753,0.182,-1.111,-0.395,0.716
"MVMR-cML",1,1e-04,-0.907,0.203,-1.305,-0.51,0.795
"MVMR-cML",1,1e-06,0.842,0.225,0.401,1.282,0.881
"MVMR-cML",1,1e-08,0.816,0.256,0.314,1.317,1.003
"FLOW-MR",1,0.01,0.196,0.186,-0.174,0.564,0.738
"FLOW-MR",1,1e-04,0.104,0.184,-0.253,0.479,0.732
"FLOW-MR",1,1e-06,0.154,0.178,-0.196,0.519,0.715
"FLOW-MR",1,1e-08,0.164,0.184,-0.194,0.527,0.721
"MVMR-Horse",1,0.01,-0.026,0.099,-0.212,0.172,0.384
"MVMR-Horse",1,1e-04,-0.07,0.097,-0.257,0.123,0.38
"MVMR-Horse",1,1e-06,0.027,0.105,-0.183,0.234,0.417
"MVMR-Horse",1,1e-08,0.074,0.106,-0.136,0.283,0.419
"FLOW-MR-indirect",1,0.01,0.788,0,0.492,1.144,0.652
"FLOW-MR-indirect",1,1e-04,0.849,0,0.541,1.213,0.672
"FLOW-MR-indirect",1,1e-06,0.784,0,0.478,1.099,0.621
"FLOW-MR-indirect",1,1e-08,0.768,0,0.452,1.105,0.653
"MVMR-IVW",1,0.01,0.117,0.065,-0.011,0.246,0.257
"MVMR-IVW",1,1e-04,0.107,0.078,-0.046,0.26,0.306
"MVMR-IVW",1,1e-06,0.096,0.086,-0.074,0.265,0.339
"MVMR-IVW",1,1e-08,0.191,0.095,0.005,0.377,0.372
"GRAPPLE",1,0.01,0.444,0.244,-0.035,0.923,0.958
"GRAPPLE",1,1e-04,0.38,0.277,-0.164,0.924,1.088
"GRAPPLE",1,1e-06,0.351,0.28,-0.198,0.9,1.098
"GRAPPLE",1,1e-08,0.569,0.254,0.072,1.067,0.995
"MVMR-Egger",1,0.01,0.124,0.066,-0.005,0.252,0.257
"MVMR-Egger",1,1e-04,0.11,0.079,-0.044,0.264,0.308
"MVMR-Egger",1,1e-06,0.102,0.087,-0.069,0.273,0.342
"MVMR-Egger",1,1e-08,0.199,0.096,0.011,0.386,0.375
"MVMR-Robust",1,0.01,0.128,0.064,0.003,0.254,0.251
"MVMR-Robust",1,1e-04,0.125,0.073,-0.019,0.269,0.288
"MVMR-Robust",1,1e-06,0.118,0.082,-0.042,0.278,0.32
"MVMR-Robust",1,1e-08,0.227,0.086,0.059,0.396,0.337
"MVMR-cML",1,0.01,1.22,0.239,0.75,1.689,0.939
"MVMR-cML",1,1e-04,1.177,0.268,0.652,1.702,1.05
"MVMR-cML",1,1e-06,1.073,0.254,0.576,1.57,0.994
"MVMR-cML",1,1e-08,1.51,0.31,0.902,2.118,1.216
"FLOW-MR",1,0.01,0.483,0.218,0.084,0.942,0.858
"FLOW-MR",1,1e-04,0.417,0.222,0.001,0.875,0.874
"FLOW-MR",1,1e-06,0.363,0.239,-0.087,0.86,0.947
"FLOW-MR",1,1e-08,0.484,0.214,0.085,0.932,0.847
"MVMR-Horse",1,0.01,0.327,0.12,0.091,0.572,0.481
"MVMR-Horse",1,1e-04,0.265,0.126,0.016,0.517,0.501
"MVMR-Horse",1,1e-06,0.24,0.129,-0.007,0.492,0.499
"MVMR-Horse",1,1e-08,0.404,0.121,0.169,0.641,0.472
"FLOW-MR-indirect",1,0.01,0.584,0,0.228,0.909,0.681
"FLOW-MR-indirect",1,1e-04,0.659,0,0.3,1.008,0.708
"FLOW-MR-indirect",1,1e-06,0.712,0,0.329,1.103,0.774
"FLOW-MR-indirect",1,1e-08,0.603,0,0.243,0.957,0.714
"MVMR-IVW",1,0.01,0.087,0.06,-0.03,0.204,0.234
"MVMR-IVW",1,1e-04,0.108,0.068,-0.025,0.24,0.265
"MVMR-IVW",1,1e-06,0.117,0.078,-0.036,0.27,0.306
"MVMR-IVW",1,1e-08,0.135,0.093,-0.048,0.318,0.366
"GRAPPLE",1,0.01,0.171,0.321,-0.457,0.8,1.257
"GRAPPLE",1,1e-04,0.185,0.242,-0.289,0.659,0.948
"GRAPPLE",1,1e-06,0.215,0.291,-0.357,0.786,1.143
"GRAPPLE",1,1e-08,0.324,0.41,-0.481,1.128,1.609
"MVMR-Egger",1,0.01,0.085,0.06,-0.032,0.202,0.234
"MVMR-Egger",1,1e-04,0.104,0.068,-0.028,0.237,0.265
"MVMR-Egger",1,1e-06,0.117,0.078,-0.035,0.27,0.305
"MVMR-Egger",1,1e-08,0.132,0.093,-0.05,0.315,0.365
"MVMR-Robust",1,0.01,0.042,0.051,-0.058,0.143,0.201
"MVMR-Robust",1,1e-04,0.057,0.06,-0.06,0.174,0.234
"MVMR-Robust",1,1e-06,0.057,0.069,-0.079,0.193,0.272
"MVMR-Robust",1,1e-08,0.075,0.09,-0.1,0.251,0.351
"MVMR-cML",1,0.01,0.669,0.172,0.331,1.007,0.676
"MVMR-cML",1,1e-04,0.543,0.212,0.127,0.959,0.832
"MVMR-cML",1,1e-06,0.617,0.235,0.158,1.077,0.919
"MVMR-cML",1,1e-08,0.986,0.248,0.5,1.472,0.972
"FLOW-MR",1,0.01,0.264,0.208,-0.131,0.696,0.827
"FLOW-MR",1,1e-04,0.268,0.198,-0.103,0.671,0.774
"FLOW-MR",1,1e-06,0.302,0.21,-0.099,0.741,0.84
"FLOW-MR",1,1e-08,0.381,0.244,-0.07,0.883,0.953
"MVMR-Horse",1,0.01,0.091,0.096,-0.103,0.278,0.381
"MVMR-Horse",1,1e-04,0.092,0.095,-0.092,0.279,0.371
"MVMR-Horse",1,1e-06,0.073,0.098,-0.128,0.262,0.39
"MVMR-Horse",1,1e-08,0.123,0.129,-0.123,0.387,0.51
"FLOW-MR-indirect",1,0.01,0.658,0,0.307,1.004,0.697
"FLOW-MR-indirect",1,1e-04,0.656,0,0.329,0.989,0.66
"FLOW-MR-indirect",1,1e-06,0.64,0,0.291,1.006,0.715
"FLOW-MR-indirect",1,1e-08,0.593,0,0.174,1.008,0.834
"MVMR-IVW",1,0.01,-0.018,0.058,-0.133,0.096,0.229
"MVMR-IVW",1,1e-04,-0.065,0.07,-0.204,0.073,0.277
"MVMR-IVW",1,1e-06,-0.031,0.084,-0.195,0.133,0.328
"MVMR-IVW",1,1e-08,-0.047,0.096,-0.236,0.142,0.378
"GRAPPLE",1,0.01,-0.094,0.181,-0.448,0.261,0.709
"GRAPPLE",1,1e-04,-0.244,0.196,-0.627,0.14,0.767
"GRAPPLE",1,1e-06,-0.143,0.293,-0.717,0.431,1.148
"GRAPPLE",1,1e-08,-0.229,0.311,-0.838,0.379,1.217
"MVMR-Egger",1,0.01,-0.018,0.058,-0.133,0.097,0.23
"MVMR-Egger",1,1e-04,-0.068,0.071,-0.206,0.07,0.276
"MVMR-Egger",1,1e-06,-0.038,0.084,-0.202,0.127,0.329
"MVMR-Egger",1,1e-08,-0.061,0.097,-0.252,0.129,0.381
"MVMR-Robust",1,0.01,-0.013,0.054,-0.12,0.094,0.214
"MVMR-Robust",1,1e-04,-0.059,0.061,-0.179,0.061,0.24
"MVMR-Robust",1,1e-06,-0.012,0.076,-0.16,0.136,0.296
"MVMR-Robust",1,1e-08,-0.026,0.088,-0.198,0.145,0.343
"MVMR-cML",1,0.01,-0.409,0.16,-0.723,-0.096,0.627
"MVMR-cML",1,1e-04,-0.825,0.218,-1.252,-0.398,0.854
"MVMR-cML",1,1e-06,-0.521,0.221,-0.954,-0.088,0.866
"MVMR-cML",1,1e-08,-0.566,0.222,-1.001,-0.132,0.869
"FLOW-MR",1,0.01,0.056,0.169,-0.256,0.403,0.659
"FLOW-MR",1,1e-04,-0.005,0.175,-0.348,0.342,0.69
"FLOW-MR",1,1e-06,0.092,0.202,-0.291,0.509,0.8
"FLOW-MR",1,1e-08,0.068,0.223,-0.355,0.521,0.876
"MVMR-Horse",1,0.01,0,0.08,-0.157,0.157,0.314
"MVMR-Horse",1,1e-04,-0.07,0.086,-0.233,0.098,0.331
"MVMR-Horse",1,1e-06,-0.015,0.101,-0.209,0.185,0.394
"MVMR-Horse",1,1e-08,-0.044,0.109,-0.255,0.167,0.422
"FLOW-MR-indirect",1,0.01,0.882,0,0.602,1.173,0.571
"FLOW-MR-indirect",1,1e-04,0.961,0,0.668,1.302,0.634
"FLOW-MR-indirect",1,1e-06,0.91,0,0.561,1.261,0.7
"FLOW-MR-indirect",1,1e-08,0.904,0,0.534,1.315,0.781
"MVMR-IVW",1,0.01,0.235,0.061,0.115,0.356,0.241
"MVMR-IVW",1,1e-04,0.235,0.071,0.096,0.373,0.277
"MVMR-IVW",1,1e-06,0.217,0.08,0.06,0.374,0.314
"MVMR-IVW",1,1e-08,0.233,0.09,0.056,0.41,0.354
"GRAPPLE",1,0.01,1.714,0.553,0.631,2.798,2.167
"GRAPPLE",1,1e-04,1.446,0.483,0.498,2.393,1.895
"GRAPPLE",1,1e-06,0.892,0.336,0.232,1.551,1.319
"GRAPPLE",1,1e-08,0.875,0.345,0.198,1.552,1.354
"MVMR-Egger",1,0.01,0.232,0.061,0.112,0.353,0.241
"MVMR-Egger",1,1e-04,0.228,0.07,0.091,0.365,0.274
"MVMR-Egger",1,1e-06,0.208,0.079,0.053,0.363,0.31
"MVMR-Egger",1,1e-08,0.217,0.089,0.042,0.392,0.35
"MVMR-Robust",1,0.01,0.204,0.058,0.09,0.317,0.227
"MVMR-Robust",1,1e-04,0.197,0.071,0.057,0.337,0.28
"MVMR-Robust",1,1e-06,0.17,0.082,0.009,0.331,0.322
"MVMR-Robust",1,1e-08,0.191,0.093,0.009,0.374,0.365
"MVMR-cML",1,0.01,1.581,0.279,1.034,2.128,1.094
"MVMR-cML",1,1e-04,1.645,0.325,1.008,2.281,1.273
"MVMR-cML",1,1e-06,1.47,0.322,0.839,2.101,1.262
"MVMR-cML",1,1e-08,1.456,0.332,0.806,2.107,1.301
"FLOW-MR",1,0.01,0.572,0.204,0.193,1.015,0.822
"FLOW-MR",1,1e-04,0.497,0.201,0.136,0.919,0.783
"FLOW-MR",1,1e-06,0.473,0.207,0.09,0.893,0.803
"FLOW-MR",1,1e-08,0.477,0.21,0.093,0.924,0.831
"MVMR-Horse",1,0.01,0.375,0.107,0.171,0.587,0.416
"MVMR-Horse",1,1e-04,0.296,0.101,0.089,0.491,0.402
"MVMR-Horse",1,1e-06,0.239,0.109,0.033,0.452,0.419
"MVMR-Horse",1,1e-08,0.248,0.119,0.025,0.481,0.456
"FLOW-MR-indirect",1,0.01,0.554,0,0.219,0.874,0.655
"FLOW-MR-indirect",1,1e-04,0.615,0,0.293,0.93,0.637
"FLOW-MR-indirect",1,1e-06,0.641,0,0.291,0.98,0.689
"FLOW-MR-indirect",1,1e-08,0.631,0,0.279,0.974,0.695
"MVMR-IVW",1,0.01,0.165,0.059,0.048,0.281,0.233
"MVMR-IVW",1,1e-04,0.187,0.067,0.056,0.319,0.263
"MVMR-IVW",1,1e-06,0.184,0.077,0.033,0.336,0.303
"MVMR-IVW",1,1e-08,0.142,0.087,-0.029,0.312,0.341
"GRAPPLE",1,0.01,1.726,0.762,0.233,3.219,2.986
"GRAPPLE",1,1e-04,0.838,0.285,0.28,1.396,1.116
"GRAPPLE",1,1e-06,0.84,0.329,0.195,1.486,1.291
"GRAPPLE",1,1e-08,0.442,0.276,-0.099,0.982,1.081
"MVMR-Egger",1,0.01,0.166,0.06,0.049,0.283,0.234
"MVMR-Egger",1,1e-04,0.187,0.067,0.055,0.319,0.264
"MVMR-Egger",1,1e-06,0.184,0.078,0.032,0.337,0.305
"MVMR-Egger",1,1e-08,0.141,0.087,-0.03,0.312,0.342
"MVMR-Robust",1,0.01,0.134,0.055,0.026,0.242,0.216
"MVMR-Robust",1,1e-04,0.143,0.06,0.025,0.26,0.235
"MVMR-Robust",1,1e-06,0.14,0.067,0.008,0.272,0.264
"MVMR-Robust",1,1e-08,0.102,0.064,-0.024,0.228,0.252
"MVMR-cML",1,0.01,1.181,0.221,0.748,1.613,0.865
"MVMR-cML",1,1e-04,1.198,0.234,0.739,1.657,0.918
"MVMR-cML",1,1e-06,1.446,0.348,0.765,2.128,1.363
"MVMR-cML",1,1e-08,1.114,0.299,0.529,1.7,1.171
"FLOW-MR",1,0.01,0.395,0.194,0.039,0.8,0.761
"FLOW-MR",1,1e-04,0.366,0.173,0.052,0.735,0.683
"FLOW-MR",1,1e-06,0.4,0.195,0.033,0.803,0.77
"FLOW-MR",1,1e-08,0.327,0.197,-0.036,0.74,0.776
"MVMR-Horse",1,0.01,0.224,0.091,0.055,0.417,0.362
"MVMR-Horse",1,1e-04,0.19,0.087,0.025,0.366,0.341
"MVMR-Horse",1,1e-06,0.183,0.093,0.008,0.37,0.362
"MVMR-Horse",1,1e-08,0.119,0.093,-0.061,0.301,0.362
"FLOW-MR-indirect",1,0.01,0.595,0,0.253,0.905,0.652
"FLOW-MR-indirect",1,1e-04,0.615,0,0.306,0.901,0.595
"FLOW-MR-indirect",1,1e-06,0.598,0,0.25,0.943,0.693
"FLOW-MR-indirect",1,1e-08,0.663,0,0.316,1,0.684
"MVMR-IVW",1,0.01,0.095,0.057,-0.017,0.208,0.225
"MVMR-IVW",1,1e-04,0.148,0.067,0.016,0.28,0.264
"MVMR-IVW",1,1e-06,0.169,0.077,0.017,0.32,0.303
"MVMR-IVW",1,1e-08,0.152,0.091,-0.026,0.329,0.355
"GRAPPLE",1,0.01,0.294,0.214,-0.126,0.713,0.839
"GRAPPLE",1,1e-04,0.545,0.239,0.077,1.014,0.937
"GRAPPLE",1,1e-06,0.568,0.256,0.066,1.07,1.004
"GRAPPLE",1,1e-08,0.553,0.339,-0.112,1.219,1.331
"MVMR-Egger",1,0.01,0.095,0.057,-0.017,0.208,0.225
"MVMR-Egger",1,1e-04,0.147,0.067,0.015,0.279,0.264
"MVMR-Egger",1,1e-06,0.168,0.077,0.017,0.319,0.302
"MVMR-Egger",1,1e-08,0.149,0.09,-0.026,0.325,0.351
"MVMR-Robust",1,0.01,0.119,0.051,0.02,0.218,0.198
"MVMR-Robust",1,1e-04,0.169,0.06,0.052,0.285,0.233
"MVMR-Robust",1,1e-06,0.196,0.067,0.065,0.326,0.261
"MVMR-Robust",1,1e-08,0.181,0.081,0.023,0.34,0.317
"MVMR-cML",1,0.01,0.985,0.213,0.568,1.402,0.834
"MVMR-cML",1,1e-04,1.304,0.306,0.703,1.904,1.201
"MVMR-cML",1,1e-06,1.37,0.331,0.722,2.018,1.296
"MVMR-cML",1,1e-08,1.199,0.314,0.582,1.815,1.233
"FLOW-MR",1,0.01,0.339,0.17,0.031,0.701,0.67
"FLOW-MR",1,1e-04,0.411,0.186,0.063,0.799,0.736
"FLOW-MR",1,1e-06,0.427,0.19,0.075,0.822,0.747
"FLOW-MR",1,1e-08,0.402,0.209,-0.01,0.826,0.836
"MVMR-Horse",1,0.01,0.225,0.077,0.074,0.375,0.301
"MVMR-Horse",1,1e-04,0.271,0.085,0.109,0.442,0.333
"MVMR-Horse",1,1e-06,0.305,0.088,0.135,0.483,0.348
"MVMR-Horse",1,1e-08,0.293,0.1,0.092,0.485,0.393
"FLOW-MR-indirect",1,0.01,0.601,0,0.322,0.879,0.557
"FLOW-MR-indirect",1,1e-04,0.575,0,0.261,0.883,0.622
"FLOW-MR-indirect",1,1e-06,0.561,0,0.229,0.88,0.651
"FLOW-MR-indirect",1,1e-08,0.591,0,0.235,0.958,0.723
"MVMR-IVW",1,0.01,0.088,0.055,-0.019,0.196,0.215
"MVMR-IVW",1,1e-04,0.156,0.062,0.033,0.278,0.245
"MVMR-IVW",1,1e-06,0.154,0.07,0.018,0.29,0.272
"MVMR-IVW",1,1e-08,0.18,0.085,0.013,0.347,0.334
"GRAPPLE",1,0.01,0.192,0.178,-0.157,0.54,0.697
"GRAPPLE",1,1e-04,0.369,0.172,0.033,0.705,0.672
"GRAPPLE",1,1e-06,0.343,0.178,-0.006,0.691,0.697
"GRAPPLE",1,1e-08,0.563,0.289,-0.003,1.13,1.133
"MVMR-Egger",1,0.01,0.093,0.055,-0.014,0.2,0.214
"MVMR-Egger",1,1e-04,0.157,0.061,0.037,0.278,0.241
"MVMR-Egger",1,1e-06,0.151,0.068,0.018,0.284,0.266
"MVMR-Egger",1,1e-08,0.172,0.084,0.007,0.337,0.33
"MVMR-Robust",1,0.01,0.088,0.052,-0.014,0.189,0.203
"MVMR-Robust",1,1e-04,0.155,0.058,0.042,0.269,0.227
"MVMR-Robust",1,1e-06,0.154,0.062,0.032,0.275,0.243
"MVMR-Robust",1,1e-08,0.18,0.083,0.018,0.342,0.324
"MVMR-cML",1,0.01,1.01,0.218,0.583,1.437,0.854
"MVMR-cML",1,1e-04,1.216,0.246,0.735,1.698,0.963
"MVMR-cML",1,1e-06,1.188,0.261,0.677,1.699,1.022
"MVMR-cML",1,1e-08,1.24,0.267,0.718,1.763,1.045
"FLOW-MR",1,0.01,0.267,0.154,-0.019,0.59,0.609
"FLOW-MR",1,1e-04,0.366,0.151,0.08,0.679,0.599
"FLOW-MR",1,1e-06,0.345,0.162,0.038,0.68,0.642
"FLOW-MR",1,1e-08,0.403,0.195,0.033,0.795,0.762
"MVMR-Horse",1,0.01,0.2,0.089,0.021,0.377,0.356
"MVMR-Horse",1,1e-04,0.267,0.087,0.101,0.441,0.34
"MVMR-Horse",1,1e-06,0.249,0.092,0.076,0.435,0.359
"MVMR-Horse",1,1e-08,0.308,0.12,0.078,0.553,0.475
"FLOW-MR-indirect",1,0.01,0.683,0,0.447,0.93,0.483
"FLOW-MR-indirect",1,1e-04,0.622,0,0.384,0.875,0.491
"FLOW-MR-indirect",1,1e-06,0.641,0,0.383,0.924,0.541
"FLOW-MR-indirect",1,1e-08,0.616,0,0.295,0.942,0.647
"MVMR-IVW",1,0.01,0.036,0.062,-0.087,0.158,0.245
"MVMR-IVW",1,1e-04,0.044,0.075,-0.102,0.19,0.292
"MVMR-IVW",1,1e-06,0.074,0.088,-0.099,0.248,0.347
"MVMR-IVW",1,1e-08,0.083,0.096,-0.105,0.272,0.377
"GRAPPLE",1,0.01,0.022,0.385,-0.733,0.776,1.509
"GRAPPLE",1,1e-04,0.019,0.364,-0.695,0.732,1.427
"GRAPPLE",1,1e-06,0.104,0.556,-0.985,1.193,2.178
"GRAPPLE",1,1e-08,0.13,0.476,-0.803,1.063,1.866
"MVMR-Egger",1,0.01,0.037,0.063,-0.086,0.16,0.246
"MVMR-Egger",1,1e-04,0.046,0.075,-0.101,0.192,0.293
"MVMR-Egger",1,1e-06,0.075,0.089,-0.099,0.249,0.348
"MVMR-Egger",1,1e-08,0.082,0.097,-0.107,0.272,0.379
"MVMR-Robust",1,0.01,0.029,0.047,-0.064,0.121,0.185
"MVMR-Robust",1,1e-04,0.037,0.053,-0.067,0.14,0.207
"MVMR-Robust",1,1e-06,0.057,0.064,-0.067,0.182,0.249
"MVMR-Robust",1,1e-08,0.059,0.069,-0.077,0.194,0.271
"MVMR-cML",1,0.01,0.258,0.176,-0.088,0.603,0.691
"MVMR-cML",1,1e-04,0.167,0.156,-0.139,0.472,0.611
"MVMR-cML",1,1e-06,0.218,0.222,-0.217,0.653,0.87
"MVMR-cML",1,1e-08,-0.007,0.195,-0.389,0.374,0.763
"FLOW-MR",1,0.01,0.195,0.226,-0.24,0.657,0.897
"FLOW-MR",1,1e-04,0.217,0.223,-0.217,0.669,0.886
"FLOW-MR",1,1e-06,0.288,0.243,-0.182,0.788,0.97
"FLOW-MR",1,1e-08,0.29,0.231,-0.142,0.758,0.9
"MVMR-Horse",1,0.01,0.052,0.093,-0.131,0.233,0.364
"MVMR-Horse",1,1e-04,0.047,0.098,-0.144,0.241,0.385
"MVMR-Horse",1,1e-06,0.072,0.112,-0.144,0.294,0.438
"MVMR-Horse",1,1e-08,0.075,0.11,-0.134,0.288,0.422
"FLOW-MR-indirect",1,0.01,0.74,0,0.358,1.137,0.779
"FLOW-MR-indirect",1,1e-04,0.697,0,0.317,1.075,0.758
"FLOW-MR-indirect",1,1e-06,0.649,0,0.229,1.078,0.849
"FLOW-MR-indirect",1,1e-08,0.633,0,0.246,1.041,0.795
"MVMR-IVW",1,0.01,0,0.056,-0.11,0.11,0.22
"MVMR-IVW",1,1e-04,0.045,0.068,-0.089,0.178,0.267
"MVMR-IVW",1,1e-06,0.041,0.077,-0.11,0.192,0.302
"MVMR-IVW",1,1e-08,0.062,0.086,-0.106,0.231,0.337
"GRAPPLE",1,0.01,0.064,0.153,-0.236,0.364,0.6
"GRAPPLE",1,1e-04,0.186,0.174,-0.155,0.527,0.682
"GRAPPLE",1,1e-06,0.175,0.192,-0.201,0.552,0.753
"GRAPPLE",1,1e-08,0.21,0.205,-0.192,0.612,0.804
"MVMR-Egger",1,0.01,0.002,0.057,-0.109,0.113,0.222
"MVMR-Egger",1,1e-04,0.057,0.068,-0.076,0.191,0.267
"MVMR-Egger",1,1e-06,0.059,0.078,-0.094,0.211,0.305
"MVMR-Egger",1,1e-08,0.091,0.087,-0.079,0.261,0.34
"MVMR-Robust",1,0.01,0.042,0.05,-0.056,0.139,0.195
"MVMR-Robust",1,1e-04,0.099,0.057,-0.013,0.212,0.225
"MVMR-Robust",1,1e-06,0.105,0.064,-0.021,0.23,0.251
"MVMR-Robust",1,1e-08,0.128,0.072,-0.013,0.27,0.283
"MVMR-cML",1,0.01,0.482,0.128,0.231,0.734,0.503
"MVMR-cML",1,1e-04,0.876,0.195,0.493,1.258,0.765
"MVMR-cML",1,1e-06,0.794,0.18,0.441,1.147,0.706
"MVMR-cML",1,1e-08,0.691,0.146,0.406,0.977,0.571
"FLOW-MR",1,0.01,0.147,0.148,-0.145,0.438,0.583
"FLOW-MR",1,1e-04,0.238,0.158,-0.067,0.559,0.626
"FLOW-MR",1,1e-06,0.202,0.157,-0.114,0.508,0.622
"FLOW-MR",1,1e-08,0.238,0.173,-0.101,0.593,0.694
"MVMR-Horse",1,0.01,0.065,0.077,-0.088,0.212,0.3
"MVMR-Horse",1,1e-04,0.137,0.084,-0.025,0.3,0.325
"MVMR-Horse",1,1e-06,0.136,0.085,-0.034,0.304,0.338
"MVMR-Horse",1,1e-08,0.168,0.089,-0.006,0.34,0.346
"FLOW-MR-indirect",1,0.01,0.686,0,0.447,0.943,0.496
"FLOW-MR-indirect",1,1e-04,0.626,0,0.372,0.897,0.525
"FLOW-MR-indirect",1,1e-06,0.642,0,0.392,0.924,0.532
"FLOW-MR-indirect",1,1e-08,0.615,0,0.329,0.915,0.586
"MVMR-IVW",1,0.01,0.048,0.056,-0.061,0.157,0.218
"MVMR-IVW",1,1e-04,0.065,0.064,-0.061,0.191,0.252
"MVMR-IVW",1,1e-06,0.084,0.072,-0.057,0.225,0.282
"MVMR-IVW",1,1e-08,0.078,0.079,-0.078,0.233,0.311
"GRAPPLE",1,0.01,0.104,0.176,-0.24,0.449,0.689
"GRAPPLE",1,1e-04,0.145,0.163,-0.175,0.466,0.641
"GRAPPLE",1,1e-06,0.188,0.173,-0.151,0.527,0.678
"GRAPPLE",1,1e-08,0.151,0.177,-0.197,0.498,0.695
"MVMR-Egger",1,0.01,0.048,0.056,-0.062,0.157,0.219
"MVMR-Egger",1,1e-04,0.065,0.064,-0.061,0.191,0.252
"MVMR-Egger",1,1e-06,0.083,0.072,-0.058,0.224,0.282
"MVMR-Egger",1,1e-08,0.078,0.079,-0.078,0.233,0.311
"MVMR-Robust",1,0.01,0.043,0.047,-0.05,0.135,0.185
"MVMR-Robust",1,1e-04,0.068,0.049,-0.027,0.164,0.191
"MVMR-Robust",1,1e-06,0.089,0.055,-0.018,0.196,0.214
"MVMR-Robust",1,1e-08,0.08,0.057,-0.032,0.192,0.224
"MVMR-cML",1,0.01,0.028,0.142,-0.25,0.305,0.555
"MVMR-cML",1,1e-04,0.669,0.186,0.306,1.033,0.727
"MVMR-cML",1,1e-06,0.556,0.144,0.274,0.839,0.565
"MVMR-cML",1,1e-08,0.471,0.122,0.232,0.711,0.479
"FLOW-MR",1,0.01,0.134,0.141,-0.134,0.425,0.559
"FLOW-MR",1,1e-04,0.168,0.142,-0.097,0.465,0.562
"FLOW-MR",1,1e-06,0.206,0.15,-0.073,0.515,0.588
"FLOW-MR",1,1e-08,0.2,0.156,-0.095,0.516,0.611
"MVMR-Horse",1,0.01,0.081,0.075,-0.064,0.231,0.295
"MVMR-Horse",1,1e-04,0.111,0.075,-0.035,0.257,0.292
"MVMR-Horse",1,1e-06,0.133,0.079,-0.021,0.29,0.311
"MVMR-Horse",1,1e-08,0.102,0.08,-0.054,0.259,0.313
"FLOW-MR-indirect",1,0.01,0.755,0,0.506,1.005,0.499
"FLOW-MR-indirect",1,1e-04,0.72,0,0.477,0.982,0.505
"FLOW-MR-indirect",1,1e-06,0.678,0,0.42,0.935,0.515
"FLOW-MR-indirect",1,1e-08,0.688,0,0.418,0.979,0.561
"MVMR-IVW",1,0.01,-0.053,0.063,-0.176,0.07,0.246
"MVMR-IVW",1,1e-04,-0.104,0.074,-0.25,0.041,0.291
"MVMR-IVW",1,1e-06,-0.139,0.086,-0.307,0.03,0.337
"MVMR-IVW",1,1e-08,-0.135,0.099,-0.329,0.059,0.388
"GRAPPLE",1,0.01,-0.339,0.41,-1.142,0.464,1.606
"GRAPPLE",1,1e-04,-0.517,0.316,-1.136,0.101,1.237
"GRAPPLE",1,1e-06,-0.725,0.399,-1.507,0.058,1.565
"GRAPPLE",1,1e-08,-0.636,0.433,-1.485,0.212,1.697
"MVMR-Egger",1,0.01,-0.056,0.063,-0.18,0.068,0.248
"MVMR-Egger",1,1e-04,-0.099,0.074,-0.245,0.047,0.292
"MVMR-Egger",1,1e-06,-0.133,0.086,-0.303,0.036,0.339
"MVMR-Egger",1,1e-08,-0.126,0.1,-0.321,0.069,0.39
"MVMR-Robust",1,0.01,-0.014,0.061,-0.133,0.105,0.238
"MVMR-Robust",1,1e-04,-0.067,0.07,-0.205,0.071,0.276
"MVMR-Robust",1,1e-06,-0.106,0.077,-0.257,0.045,0.302
"MVMR-Robust",1,1e-08,-0.085,0.08,-0.242,0.072,0.314
"MVMR-cML",1,0.01,-0.764,0.189,-1.135,-0.392,0.743
"MVMR-cML",1,1e-04,-0.969,0.223,-1.406,-0.532,0.874
"MVMR-cML",1,1e-06,-1.159,0.286,-1.719,-0.598,1.121
"MVMR-cML",1,1e-08,-1.158,0.341,-1.826,-0.49,1.336
"FLOW-MR",1,0.01,0.074,0.217,-0.34,0.514,0.854
"FLOW-MR",1,1e-04,-0.027,0.209,-0.443,0.398,0.841
"FLOW-MR",1,1e-06,-0.081,0.222,-0.507,0.364,0.871
"FLOW-MR",1,1e-08,-0.058,0.235,-0.521,0.397,0.918
"MVMR-Horse",1,0.01,-0.017,0.093,-0.2,0.163,0.363
"MVMR-Horse",1,1e-04,-0.101,0.099,-0.297,0.089,0.386
"MVMR-Horse",1,1e-06,-0.167,0.105,-0.382,0.033,0.415
"MVMR-Horse",1,1e-08,-0.113,0.11,-0.335,0.109,0.444
"FLOW-MR-indirect",1,0.01,0.873,0,0.501,1.286,0.785
"FLOW-MR-indirect",1,1e-04,0.951,0,0.581,1.35,0.769
"FLOW-MR-indirect",1,1e-06,0.984,0,0.592,1.39,0.798
"FLOW-MR-indirect",1,1e-08,0.974,0,0.563,1.42,0.857
"MVMR-IVW",1,0.01,0.038,0.061,-0.081,0.157,0.238
"MVMR-IVW",1,1e-04,0.025,0.07,-0.112,0.162,0.274
"MVMR-IVW",1,1e-06,0.022,0.077,-0.13,0.173,0.303
"MVMR-IVW",1,1e-08,0.007,0.088,-0.167,0.18,0.347
