"Method","Trait","pval","estimate","se","lower","upper","length"
"FLOW-MR-indirect","1","1e-08",0.83,0,0.489,1.2,0.711
"MVMR-IVW","1","0.01",0.079,0.064,-0.047,0.205,0.252
"MVMR-IVW","1","1e-04",0.065,0.071,-0.075,0.205,0.28
"MVMR-IVW","1","1e-06",0.017,0.076,-0.132,0.165,0.297
"MVMR-IVW","1","1e-08",0.025,0.078,-0.128,0.179,0.307
"GRAPPLE","1","0.01",0.246,0.858,-1.437,1.928,3.365
"GRAPPLE","1","1e-04",0.091,1.045,-1.956,2.139,4.095
"GRAPPLE","1","1e-06",-0.079,0.979,-1.999,1.84,3.839
"GRAPPLE","1","1e-08",-0.008,0.404,-0.8,0.784,1.584
"MVMR-Egger","1","0.01",0.082,0.065,-0.047,0.21,0.257
"MVMR-Egger","1","1e-04",0.062,0.073,-0.081,0.206,0.287
"MVMR-Egger","1","1e-06",0.019,0.077,-0.132,0.17,0.302
"MVMR-Egger","1","1e-08",0.043,0.079,-0.113,0.198,0.311
"MVMR-Robust","1","0.01",0.057,0.053,-0.047,0.16,0.207
"MVMR-Robust","1","1e-04",0.025,0.055,-0.084,0.133,0.217
"MVMR-Robust","1","1e-06",-0.003,0.057,-0.114,0.108,0.222
"MVMR-Robust","1","1e-08",0.001,0.058,-0.113,0.115,0.228
"MVMR-cML","1","0.01",1.005,0.225,0.563,1.447,0.884
"MVMR-cML","1","1e-04",0.667,0.234,0.208,1.126,0.918
"MVMR-cML","1","1e-06",-0.274,0.138,-0.544,-0.004,0.54
"MVMR-cML","1","1e-08",-0.259,0.155,-0.563,0.046,0.609
"FLOW-MR","1","0.01",0.316,0.215,-0.091,0.765,0.856
"FLOW-MR","1","1e-04",0.226,0.211,-0.171,0.653,0.824
"FLOW-MR","1","1e-06",0.158,0.22,-0.259,0.605,0.864
"FLOW-MR","1","1e-08",0.144,0.211,-0.262,0.575,0.837
"MVMR-Horse","1","0.01",0.144,0.12,-0.083,0.389,0.472
"MVMR-Horse","1","1e-04",0.015,0.113,-0.197,0.242,0.439
"MVMR-Horse","1","1e-06",-0.019,0.11,-0.243,0.193,0.436
"MVMR-Horse","1","1e-08",-0.031,0.108,-0.241,0.177,0.418
"FLOW-MR-indirect","1","0.01",0.81,0,0.447,1.178,0.731
"FLOW-MR-indirect","1","1e-04",0.879,0,0.514,1.251,0.737
"FLOW-MR-indirect","1","1e-06",0.983,0,0.607,1.396,0.789
"FLOW-MR-indirect","1","1e-08",0.999,0,0.627,1.435,0.808
"MVMR-IVW","1","0.01",0.063,0.063,-0.061,0.187,0.248
"MVMR-IVW","1","1e-04",0.102,0.073,-0.041,0.244,0.285
"MVMR-IVW","1","1e-06",0.097,0.08,-0.06,0.254,0.314
"MVMR-IVW","1","1e-08",0.113,0.088,-0.061,0.286,0.347
"GRAPPLE","1","0.01",4.04,12.265,-19.999,28.079,48.078
"GRAPPLE","1","1e-04",6.928,19.212,-30.728,44.583,75.311
"GRAPPLE","1","1e-06",5.259,12.302,-18.853,29.372,48.225
"GRAPPLE","1","1e-08",1.287,1.141,-0.949,3.523,4.472
"MVMR-Egger","1","0.01",0.059,0.064,-0.066,0.184,0.25
"MVMR-Egger","1","1e-04",0.104,0.073,-0.04,0.247,0.287
"MVMR-Egger","1","1e-06",0.107,0.08,-0.05,0.265,0.315
"MVMR-Egger","1","1e-08",0.117,0.089,-0.058,0.291,0.349
"MVMR-Robust","1","0.01",0.047,0.061,-0.072,0.166,0.238
"MVMR-Robust","1","1e-04",0.088,0.074,-0.057,0.233,0.29
"MVMR-Robust","1","1e-06",0.097,0.084,-0.068,0.263,0.331
"MVMR-Robust","1","1e-08",0.109,0.093,-0.073,0.291,0.364
"MVMR-cML","1","0.01",0.992,0.231,0.54,1.444,0.904
"MVMR-cML","1","1e-04",1.096,0.272,0.563,1.628,1.065
"MVMR-cML","1","1e-06",1.207,0.321,0.578,1.836,1.258
"MVMR-cML","1","1e-08",1.194,0.319,0.568,1.82,1.252
"FLOW-MR","1","0.01",0.366,0.288,-0.199,0.935,1.134
"FLOW-MR","1","1e-04",0.467,0.282,-0.049,1.057,1.106
"FLOW-MR","1","1e-06",0.406,0.281,-0.123,0.987,1.11
"FLOW-MR","1","1e-08",0.397,0.282,-0.147,0.97,1.117
"MVMR-Horse","1","0.01",0.056,0.122,-0.186,0.288,0.474
"MVMR-Horse","1","1e-04",0.16,0.139,-0.093,0.45,0.543
"MVMR-Horse","1","1e-06",0.181,0.141,-0.092,0.453,0.545
"MVMR-Horse","1","1e-08",0.194,0.148,-0.096,0.482,0.578
"FLOW-MR-indirect","1","0.01",0.791,0,0.321,1.336,1.015
"FLOW-MR-indirect","1","1e-04",0.717,0,0.223,1.188,0.965
"FLOW-MR-indirect","1","1e-06",0.738,0,0.249,1.227,0.978
"FLOW-MR-indirect","1","1e-08",0.77,0,0.289,1.278,0.989
"MVMR-IVW","1","0.01",0.108,0.06,-0.01,0.225,0.235
"MVMR-IVW","1","1e-04",0.131,0.068,-0.003,0.265,0.268
"MVMR-IVW","1","1e-06",0.114,0.076,-0.035,0.262,0.297
"MVMR-IVW","1","1e-08",0.118,0.084,-0.047,0.283,0.33
"GRAPPLE","1","0.01",0.544,0.339,-0.12,1.208,1.328
"GRAPPLE","1","1e-04",0.686,0.379,-0.056,1.428,1.484
"GRAPPLE","1","1e-06",0.575,0.428,-0.263,1.413,1.676
"GRAPPLE","1","1e-08",0.564,0.45,-0.319,1.447,1.766
"MVMR-Egger","1","0.01",0.102,0.061,-0.017,0.22,0.237
"MVMR-Egger","1","1e-04",0.123,0.069,-0.012,0.259,0.271
"MVMR-Egger","1","1e-06",0.115,0.077,-0.036,0.265,0.301
"MVMR-Egger","1","1e-08",0.122,0.085,-0.045,0.288,0.333
"MVMR-Robust","1","0.01",0.153,0.054,0.047,0.26,0.213
"MVMR-Robust","1","1e-04",0.187,0.066,0.057,0.317,0.26
"MVMR-Robust","1","1e-06",0.161,0.07,0.024,0.299,0.275
"MVMR-Robust","1","1e-08",0.163,0.076,0.014,0.312,0.298
"MVMR-cML","1","0.01",1.206,0.234,0.747,1.664,0.917
"MVMR-cML","1","1e-04",1.357,0.283,0.802,1.913,1.111
"MVMR-cML","1","1e-06",1.334,0.323,0.701,1.966,1.265
"MVMR-cML","1","1e-08",1.325,0.329,0.68,1.969,1.289
"FLOW-MR","1","0.01",0.554,0.272,0.067,1.146,1.079
"FLOW-MR","1","1e-04",0.508,0.244,0.04,1.005,0.965
"FLOW-MR","1","1e-06",0.421,0.228,-0.012,0.892,0.904
"FLOW-MR","1","1e-08",0.415,0.252,-0.07,0.924,0.994
"MVMR-Horse","1","0.01",0.362,0.095,0.173,0.546,0.373
"MVMR-Horse","1","1e-04",0.384,0.095,0.202,0.573,0.371
"MVMR-Horse","1","1e-06",0.323,0.108,0.108,0.54,0.432
"MVMR-Horse","1","1e-08",0.342,0.115,0.111,0.563,0.452
"FLOW-MR-indirect","1","0.01",0.606,0,0.124,1.026,0.902
"FLOW-MR-indirect","1","1e-04",0.661,0,0.24,1.077,0.837
"FLOW-MR-indirect","1","1e-06",0.726,0,0.329,1.113,0.784
"FLOW-MR-indirect","1","1e-08",0.75,0,0.331,1.207,0.876
"MVMR-IVW","1","0.01",0.147,0.057,0.036,0.258,0.222
"MVMR-IVW","1","1e-04",0.148,0.06,0.029,0.266,0.237
"MVMR-IVW","1","1e-06",0.168,0.071,0.029,0.307,0.278
"MVMR-IVW","1","1e-08",0.156,0.079,0.001,0.31,0.309
"GRAPPLE","1","0.01",1.032,0.492,0.068,1.996,1.928
"GRAPPLE","1","1e-04",0.676,0.34,0.009,1.343,1.334
"GRAPPLE","1","1e-06",1.097,0.586,-0.052,2.246,2.298
"GRAPPLE","1","1e-08",1.206,0.756,-0.275,2.687,2.962
"MVMR-Egger","1","0.01",0.139,0.057,0.026,0.251,0.225
"MVMR-Egger","1","1e-04",0.136,0.061,0.016,0.257,0.241
"MVMR-Egger","1","1e-06",0.165,0.072,0.023,0.307,0.284
"MVMR-Egger","1","1e-08",0.157,0.08,0,0.314,0.314
"MVMR-Robust","1","0.01",0.132,0.053,0.029,0.235,0.206
"MVMR-Robust","1","1e-04",0.131,0.058,0.018,0.245,0.227
"MVMR-Robust","1","1e-06",0.154,0.068,0.021,0.287,0.266
"MVMR-Robust","1","1e-08",0.13,0.082,-0.031,0.29,0.321
"MVMR-cML","1","0.01",1.108,0.231,0.655,1.56,0.905
"MVMR-cML","1","1e-04",1.082,0.251,0.591,1.574,0.983
"MVMR-cML","1","1e-06",1.144,0.271,0.612,1.675,1.063
"MVMR-cML","1","1e-08",1.129,0.311,0.519,1.739,1.22
"FLOW-MR","1","0.01",0.469,0.174,0.161,0.838,0.677
"FLOW-MR","1","1e-04",0.419,0.171,0.102,0.774,0.672
"FLOW-MR","1","1e-06",0.457,0.215,0.048,0.899,0.851
"FLOW-MR","1","1e-08",0.417,0.22,-0.008,0.861,0.869
"MVMR-Horse","1","0.01",0.241,0.095,0.062,0.426,0.364
"MVMR-Horse","1","1e-04",0.225,0.092,0.047,0.408,0.361
"MVMR-Horse","1","1e-06",0.28,0.111,0.065,0.502,0.437
"MVMR-Horse","1","1e-08",0.2,0.114,-0.014,0.43,0.444
"FLOW-MR-indirect","1","0.01",0.578,0,0.291,0.852,0.561
"FLOW-MR-indirect","1","1e-04",0.62,0,0.342,0.903,0.561
"FLOW-MR-indirect","1","1e-06",0.628,0,0.247,1.013,0.766
"FLOW-MR-indirect","1","1e-08",0.678,0,0.296,1.077,0.781
"MVMR-IVW","1","0.01",0.01,0.063,-0.113,0.134,0.247
"MVMR-IVW","1","1e-04",0.071,0.071,-0.068,0.21,0.278
"MVMR-IVW","1","1e-06",0.053,0.078,-0.101,0.207,0.308
"MVMR-IVW","1","1e-08",0.035,0.085,-0.131,0.201,0.332
"GRAPPLE","1","0.01",-0.061,0.386,-0.817,0.696,1.513
"GRAPPLE","1","1e-04",0.622,0.635,-0.622,1.866,2.488
"GRAPPLE","1","1e-06",1.249,1.859,-2.395,4.894,7.289
"GRAPPLE","1","1e-08",0.04,0.548,-1.034,1.114,2.148
"MVMR-Egger","1","0.01",-0.003,0.063,-0.127,0.121,0.248
"MVMR-Egger","1","1e-04",0.054,0.072,-0.088,0.196,0.284
"MVMR-Egger","1","1e-06",0.04,0.079,-0.115,0.195,0.31
"MVMR-Egger","1","1e-08",0.034,0.086,-0.135,0.202,0.337
"MVMR-Robust","1","0.01",-0.005,0.06,-0.123,0.113,0.236
"MVMR-Robust","1","1e-04",0.073,0.073,-0.07,0.217,0.287
"MVMR-Robust","1","1e-06",0.058,0.086,-0.11,0.227,0.337
"MVMR-Robust","1","1e-08",0.039,0.092,-0.142,0.219,0.361
"MVMR-cML","1","0.01",-0.474,0.155,-0.778,-0.171,0.607
"MVMR-cML","1","1e-04",1.157,0.263,0.642,1.673,1.031
"MVMR-cML","1","1e-06",0.921,0.263,0.406,1.437,1.031
"MVMR-cML","1","1e-08",0.947,0.298,0.363,1.532,1.169
"FLOW-MR","1","0.01",0.143,0.187,-0.215,0.526,0.741
"FLOW-MR","1","1e-04",0.214,0.203,-0.164,0.634,0.798
"FLOW-MR","1","1e-06",0.232,0.231,-0.206,0.719,0.925
"FLOW-MR","1","1e-08",0.208,0.241,-0.234,0.706,0.94
"MVMR-Horse","1","0.01",-0.069,0.12,-0.308,0.157,0.465
"MVMR-Horse","1","1e-04",0.105,0.12,-0.129,0.331,0.46
"MVMR-Horse","1","1e-06",0.087,0.132,-0.177,0.344,0.521
"MVMR-Horse","1","1e-08",0.076,0.14,-0.202,0.357,0.559
"FLOW-MR-indirect","1","0.01",0.822,0,0.52,1.158,0.638
"FLOW-MR-indirect","1","1e-04",0.776,0,0.435,1.119,0.684
"FLOW-MR-indirect","1","1e-06",0.82,0,0.407,1.213,0.806
"FLOW-MR-indirect","1","1e-08",0.83,0,0.412,1.226,0.814
"MVMR-IVW","1","0.01",0.009,0.057,-0.103,0.12,0.223
"MVMR-IVW","1","1e-04",0.002,0.062,-0.12,0.124,0.244
"MVMR-IVW","1","1e-06",0.028,0.071,-0.112,0.168,0.28
"MVMR-IVW","1","1e-08",0.062,0.08,-0.095,0.22,0.315
"GRAPPLE","1","0.01",-0.058,0.32,-0.686,0.57,1.256
"GRAPPLE","1","1e-04",-0.174,0.309,-0.781,0.432,1.213
"GRAPPLE","1","1e-06",-0.167,0.427,-1.003,0.669,1.672
"GRAPPLE","1","1e-08",0.155,0.546,-0.915,1.224,2.139
"MVMR-Egger","1","0.01",0.005,0.057,-0.108,0.117,0.225
"MVMR-Egger","1","1e-04",0.002,0.063,-0.121,0.126,0.247
"MVMR-Egger","1","1e-06",0.032,0.073,-0.112,0.175,0.287
"MVMR-Egger","1","1e-08",0.069,0.082,-0.091,0.229,0.32
"MVMR-Robust","1","0.01",0.006,0.054,-0.1,0.113,0.213
"MVMR-Robust","1","1e-04",-0.01,0.063,-0.133,0.113,0.246
"MVMR-Robust","1","1e-06",0.013,0.073,-0.131,0.157,0.288
"MVMR-Robust","1","1e-08",0.047,0.082,-0.113,0.207,0.32
"MVMR-cML","1","0.01",0.657,0.166,0.332,0.982,0.65
"MVMR-cML","1","1e-04",-0.514,0.163,-0.834,-0.194,0.64
"MVMR-cML","1","1e-06",0.77,0.256,0.268,1.273,1.005
"MVMR-cML","1","1e-08",0.789,0.264,0.272,1.306,1.034
"FLOW-MR","1","0.01",0.133,0.189,-0.216,0.538,0.754
"FLOW-MR","1","1e-04",0.1,0.212,-0.318,0.525,0.843
"FLOW-MR","1","1e-06",0.206,0.241,-0.252,0.693,0.945
"FLOW-MR","1","1e-08",0.29,0.261,-0.213,0.801,1.014
"MVMR-Horse","1","0.01",0.014,0.093,-0.168,0.192,0.36
"MVMR-Horse","1","1e-04",-0.009,0.095,-0.199,0.177,0.376
"MVMR-Horse","1","1e-06",0.041,0.108,-0.168,0.256,0.424
"MVMR-Horse","1","1e-08",0.078,0.117,-0.159,0.308,0.467
"FLOW-MR-indirect","1","0.01",0.829,0,0.54,1.167,0.627
"FLOW-MR-indirect","1","1e-04",0.919,0,0.568,1.339,0.771
"FLOW-MR-indirect","1","1e-06",0.852,0,0.452,1.284,0.832
"FLOW-MR-indirect","1","1e-08",0.85,0,0.389,1.313,0.924
"MVMR-IVW","1","0.01",0.047,0.064,-0.078,0.173,0.251
"MVMR-IVW","1","1e-04",0.057,0.07,-0.081,0.195,0.276
"MVMR-IVW","1","1e-06",0.042,0.081,-0.115,0.2,0.315
"MVMR-IVW","1","1e-08",0.016,0.093,-0.166,0.198,0.364
"GRAPPLE","1","0.01",0.345,0.859,-1.339,2.029,3.368
"GRAPPLE","1","1e-04",0.287,0.598,-0.884,1.458,2.342
"GRAPPLE","1","1e-06",0.235,0.768,-1.269,1.74,3.009
"GRAPPLE","1","1e-08",0.078,0.665,-1.226,1.381,2.607
"MVMR-Egger","1","0.01",0.049,0.065,-0.079,0.176,0.255
"MVMR-Egger","1","1e-04",0.049,0.072,-0.092,0.19,0.282
"MVMR-Egger","1","1e-06",0.043,0.082,-0.118,0.205,0.323
"MVMR-Egger","1","1e-08",0.018,0.095,-0.167,0.204,0.371
"MVMR-Robust","1","0.01",0.042,0.059,-0.073,0.157,0.23
"MVMR-Robust","1","1e-04",0.049,0.066,-0.08,0.178,0.258
"MVMR-Robust","1","1e-06",0.04,0.075,-0.108,0.187,0.295
"MVMR-Robust","1","1e-08",0.029,0.081,-0.129,0.187,0.316
"MVMR-cML","1","0.01",1.108,0.213,0.691,1.525,0.834
"MVMR-cML","1","1e-04",1.181,0.265,0.663,1.7,1.037
"MVMR-cML","1","1e-06",1.106,0.266,0.586,1.627,1.041
"MVMR-cML","1","1e-08",1.11,0.303,0.517,1.704,1.187
"FLOW-MR","1","0.01",0.304,0.217,-0.107,0.759,0.866
"FLOW-MR","1","1e-04",0.311,0.223,-0.115,0.776,0.891
"FLOW-MR","1","1e-06",0.287,0.246,-0.193,0.786,0.979
"FLOW-MR","1","1e-08",0.303,0.272,-0.217,0.843,1.06
"MVMR-Horse","1","0.01",0.02,0.136,-0.243,0.29,0.533
"MVMR-Horse","1","1e-04",0.041,0.132,-0.212,0.312,0.524
"MVMR-Horse","1","1e-06",0.047,0.151,-0.251,0.335,0.586
"MVMR-Horse","1","1e-08",0.033,0.176,-0.341,0.353,0.694
"FLOW-MR-indirect","1","0.01",0.757,0,0.394,1.115,0.721
"FLOW-MR-indirect","1","1e-04",0.772,0,0.399,1.153,0.754
"FLOW-MR-indirect","1","1e-06",0.794,0,0.368,1.247,0.879
"FLOW-MR-indirect","1","1e-08",0.823,0,0.354,1.332,0.978
"MVMR-IVW","1","0.01",-0.079,0.062,-0.201,0.044,0.245
"MVMR-IVW","1","1e-04",-0.14,0.067,-0.273,-0.008,0.265
"MVMR-IVW","1","1e-06",-0.163,0.074,-0.308,-0.017,0.291
"MVMR-IVW","1","1e-08",-0.179,0.086,-0.347,-0.01,0.337
"GRAPPLE","1","0.01",-0.584,0.416,-1.399,0.23,1.629
"GRAPPLE","1","1e-04",-0.68,0.332,-1.332,-0.029,1.303
"GRAPPLE","1","1e-06",-0.699,0.341,-1.367,-0.031,1.336
"GRAPPLE","1","1e-08",-0.836,0.446,-1.711,0.038,1.749
"MVMR-Egger","1","0.01",-0.093,0.063,-0.217,0.03,0.247
"MVMR-Egger","1","1e-04",-0.15,0.068,-0.283,-0.016,0.267
"MVMR-Egger","1","1e-06",-0.168,0.075,-0.316,-0.02,0.296
"MVMR-Egger","1","1e-08",-0.184,0.088,-0.357,-0.011,0.346
"MVMR-Robust","1","0.01",-0.034,0.066,-0.164,0.095,0.259
"MVMR-Robust","1","1e-04",-0.091,0.069,-0.226,0.044,0.27
"MVMR-Robust","1","1e-06",-0.096,0.08,-0.252,0.06,0.312
"MVMR-Robust","1","1e-08",-0.108,0.096,-0.296,0.08,0.376
"MVMR-cML","1","0.01",0.917,0.181,0.563,1.272,0.709
"MVMR-cML","1","1e-04",0.825,0.199,0.435,1.215,0.78
"MVMR-cML","1","1e-06",-1.043,0.257,-1.548,-0.539,1.009
"MVMR-cML","1","1e-08",0.743,0.187,0.377,1.109,0.732
"FLOW-MR","1","0.01",0.021,0.232,-0.462,0.451,0.913
"FLOW-MR","1","1e-04",-0.134,0.247,-0.641,0.342,0.983
"FLOW-MR","1","1e-06",-0.141,0.247,-0.636,0.336,0.972
"FLOW-MR","1","1e-08",-0.147,0.257,-0.651,0.354,1.005
"MVMR-Horse","1","0.01",-0.028,0.116,-0.254,0.196,0.45
"MVMR-Horse","1","1e-04",-0.134,0.112,-0.361,0.08,0.441
"MVMR-Horse","1","1e-06",-0.118,0.117,-0.357,0.101,0.458
"MVMR-Horse","1","1e-08",-0.11,0.133,-0.374,0.145,0.519
"FLOW-MR-indirect","1","0.01",0.891,0,0.547,1.352,0.805
"FLOW-MR-indirect","1","1e-04",1.059,0,0.659,1.534,0.875
"FLOW-MR-indirect","1","1e-06",1.051,0,0.63,1.537,0.907
"FLOW-MR-indirect","1","1e-08",1.06,0,0.607,1.558,0.951
"MVMR-IVW","1","0.01",0.063,0.062,-0.059,0.186,0.245
"MVMR-IVW","1","1e-04",0.085,0.068,-0.049,0.219,0.268
"MVMR-IVW","1","1e-06",0.072,0.077,-0.079,0.222,0.301
"MVMR-IVW","1","1e-08",0.065,0.086,-0.104,0.234,0.338
"GRAPPLE","1","0.01",9.693,53.223,-94.624,114.01,208.634
"GRAPPLE","1","1e-04",6.576,19.391,-31.43,44.581,76.011
"GRAPPLE","1","1e-06",7.013,33.232,-58.123,72.148,130.271
"GRAPPLE","1","1e-08",6.834,44.374,-80.139,93.808,173.947
"MVMR-Egger","1","0.01",0.058,0.063,-0.065,0.182,0.247
"MVMR-Egger","1","1e-04",0.085,0.069,-0.05,0.221,0.271
"MVMR-Egger","1","1e-06",0.074,0.078,-0.078,0.227,0.305
"MVMR-Egger","1","1e-08",0.07,0.088,-0.102,0.243,0.345
"MVMR-Robust","1","0.01",0.076,0.052,-0.026,0.178,0.204
"MVMR-Robust","1","1e-04",0.08,0.058,-0.035,0.194,0.229
"MVMR-Robust","1","1e-06",0.076,0.067,-0.056,0.208,0.264
"MVMR-Robust","1","1e-08",0.072,0.073,-0.071,0.216,0.287
"MVMR-cML","1","0.01",1.121,0.26,0.61,1.631,1.021
"MVMR-cML","1","1e-04",1.103,0.272,0.569,1.637,1.068
"MVMR-cML","1","1e-06",1.137,0.3,0.549,1.726,1.177
"MVMR-cML","1","1e-08",1.029,0.256,0.527,1.531,1.004
"FLOW-MR","1","0.01",0.274,0.162,-0.03,0.598,0.628
"FLOW-MR","1","1e-04",0.272,0.179,-0.068,0.646,0.714
"FLOW-MR","1","1e-06",0.253,0.188,-0.101,0.649,0.75
"FLOW-MR","1","1e-08",0.259,0.212,-0.15,0.69,0.84
"MVMR-Horse","1","0.01",0.165,0.142,-0.128,0.449,0.577
"MVMR-Horse","1","1e-04",0.171,0.143,-0.112,0.457,0.569
"MVMR-Horse","1","1e-06",0.156,0.142,-0.13,0.421,0.551
"MVMR-Horse","1","1e-08",0.141,0.15,-0.142,0.436,0.578
"FLOW-MR-indirect","1","0.01",0.819,0,0.549,1.098,0.549
"FLOW-MR-indirect","1","1e-04",0.834,0,0.534,1.138,0.604
"FLOW-MR-indirect","1","1e-06",0.844,0,0.53,1.178,0.648
"FLOW-MR-indirect","1","1e-08",0.872,0,0.505,1.277,0.772
"MVMR-IVW","1","0.01",0.236,0.062,0.115,0.356,0.241
"MVMR-IVW","1","1e-04",0.296,0.071,0.156,0.436,0.28
"MVMR-IVW","1","1e-06",0.291,0.081,0.133,0.449,0.316
"MVMR-IVW","1","1e-08",0.263,0.087,0.093,0.433,0.34
"GRAPPLE","1","0.01",1.821,0.604,0.637,3.005,2.368
"GRAPPLE","1","1e-04",2.365,0.838,0.723,4.007,3.284
"GRAPPLE","1","1e-06",2.575,1.059,0.498,4.651,4.153
"GRAPPLE","1","1e-08",1.235,0.503,0.248,2.221,1.973
"MVMR-Egger","1","0.01",0.224,0.062,0.103,0.346,0.243
"MVMR-Egger","1","1e-04",0.289,0.072,0.147,0.43,0.283
"MVMR-Egger","1","1e-06",0.274,0.082,0.114,0.434,0.32
"MVMR-Egger","1","1e-08",0.248,0.088,0.074,0.421,0.347
"MVMR-Robust","1","0.01",0.189,0.07,0.052,0.327,0.275
"MVMR-Robust","1","1e-04",0.235,0.08,0.078,0.393,0.315
"MVMR-Robust","1","1e-06",0.25,0.091,0.071,0.428,0.357
"MVMR-Robust","1","1e-08",0.208,0.099,0.014,0.403,0.389
"MVMR-cML","1","0.01",1.577,0.257,1.073,2.082,1.009
"MVMR-cML","1","1e-04",1.627,0.285,1.069,2.185,1.116
"MVMR-cML","1","1e-06",1.668,0.316,1.049,2.288,1.239
"MVMR-cML","1","1e-08",1.675,0.337,1.014,2.335,1.321
"FLOW-MR","1","0.01",0.802,0.217,0.401,1.245,0.844
"FLOW-MR","1","1e-04",0.811,0.225,0.393,1.262,0.869
"FLOW-MR","1","1e-06",0.746,0.232,0.296,1.207,0.911
"FLOW-MR","1","1e-08",0.647,0.233,0.197,1.134,0.937
"MVMR-Horse","1","0.01",0.456,0.138,0.195,0.736,0.541
"MVMR-Horse","1","1e-04",0.468,0.155,0.189,0.785,0.596
"MVMR-Horse","1","1e-06",0.548,0.161,0.219,0.85,0.631
"MVMR-Horse","1","1e-08",0.369,0.166,0.063,0.701,0.638
"FLOW-MR-indirect","1","0.01",0.532,0,0.188,0.856,0.668
"FLOW-MR-indirect","1","1e-04",0.529,0,0.176,0.884,0.708
"FLOW-MR-indirect","1","1e-06",0.566,0,0.193,0.935,0.742
"FLOW-MR-indirect","1","1e-08",0.642,0,0.25,1.044,0.794
"MVMR-IVW","1","0.01",0.143,0.06,0.025,0.26,0.235
"MVMR-IVW","1","1e-04",0.127,0.068,-0.007,0.261,0.268
"MVMR-IVW","1","1e-06",0.121,0.074,-0.024,0.267,0.291
"MVMR-IVW","1","1e-08",0.145,0.077,-0.006,0.297,0.303
"GRAPPLE","1","0.01",0.88,0.374,0.146,1.614,1.468
"GRAPPLE","1","1e-04",0.71,0.376,-0.026,1.447,1.473
"GRAPPLE","1","1e-06",0.749,0.364,0.035,1.464,1.429
"GRAPPLE","1","1e-08",0.705,0.3,0.118,1.293,1.175
"MVMR-Egger","1","0.01",0.139,0.06,0.021,0.256,0.235
"MVMR-Egger","1","1e-04",0.122,0.069,-0.013,0.257,0.27
"MVMR-Egger","1","1e-06",0.114,0.075,-0.032,0.261,0.293
"MVMR-Egger","1","1e-08",0.139,0.078,-0.015,0.292,0.307
"MVMR-Robust","1","0.01",0.141,0.068,0.007,0.274,0.267
"MVMR-Robust","1","1e-04",0.13,0.078,-0.022,0.282,0.304
"MVMR-Robust","1","1e-06",0.153,0.086,-0.016,0.322,0.338
"MVMR-Robust","1","1e-08",0.188,0.093,0.007,0.37,0.363
"MVMR-cML","1","0.01",1.278,0.214,0.858,1.698,0.84
"MVMR-cML","1","1e-04",1.22,0.233,0.764,1.677,0.913
"MVMR-cML","1","1e-06",1.301,0.265,0.782,1.82,1.038
"MVMR-cML","1","1e-08",1.403,0.301,0.812,1.994,1.182
"FLOW-MR","1","0.01",0.58,0.238,0.125,1.055,0.93
"FLOW-MR","1","1e-04",0.521,0.251,0.02,1.027,1.007
"FLOW-MR","1","1e-06",0.455,0.237,0.011,0.96,0.949
"FLOW-MR","1","1e-08",0.422,0.224,-0.001,0.886,0.887
"MVMR-Horse","1","0.01",0.372,0.131,0.098,0.616,0.518
"MVMR-Horse","1","1e-04",0.336,0.134,0.076,0.605,0.529
"MVMR-Horse","1","1e-06",0.365,0.127,0.106,0.605,0.499
"MVMR-Horse","1","1e-08",0.367,0.117,0.14,0.602,0.462
"FLOW-MR-indirect","1","0.01",0.499,0,0.098,0.901,0.803
"FLOW-MR-indirect","1","1e-04",0.568,0,0.138,1.028,0.89
"FLOW-MR-indirect","1","1e-06",0.62,0,0.202,1.031,0.829
"FLOW-MR-indirect","1","1e-08",0.65,0,0.261,1.029,0.768
"MVMR-IVW","1","0.01",-0.025,0.062,-0.148,0.097,0.245
"MVMR-IVW","1","1e-04",-0.041,0.069,-0.176,0.093,0.269
"MVMR-IVW","1","1e-06",-0.079,0.078,-0.232,0.074,0.306
"MVMR-IVW","1","1e-08",-0.085,0.087,-0.256,0.086,0.342
"GRAPPLE","1","0.01",-0.287,0.641,-1.544,0.969,2.513
"GRAPPLE","1","1e-04",-0.252,0.566,-1.362,0.857,2.219
"GRAPPLE","1","1e-06",-0.56,0.664,-1.861,0.741,2.602
"GRAPPLE","1","1e-08",-1.105,1.268,-3.589,1.38,4.969
"MVMR-Egger","1","0.01",-0.041,0.063,-0.165,0.082,0.247
"MVMR-Egger","1","1e-04",-0.052,0.07,-0.189,0.085,0.274
"MVMR-Egger","1","1e-06",-0.09,0.08,-0.247,0.068,0.315
"MVMR-Egger","1","1e-08",-0.093,0.091,-0.271,0.085,0.356
"MVMR-Robust","1","0.01",-0.036,0.059,-0.15,0.079,0.229
"MVMR-Robust","1","1e-04",-0.034,0.068,-0.167,0.098,0.265
"MVMR-Robust","1","1e-06",-0.077,0.077,-0.229,0.075,0.304
"MVMR-Robust","1","1e-08",-0.087,0.085,-0.255,0.08,0.335
"MVMR-cML","1","0.01",-0.522,0.116,-0.75,-0.295,0.455
"MVMR-cML","1","1e-04",0.747,0.189,0.376,1.118,0.742
"MVMR-cML","1","1e-06",0.804,0.211,0.39,1.217,0.827
"MVMR-cML","1","1e-08",0.812,0.209,0.402,1.222,0.82
"FLOW-MR","1","0.01",0.148,0.244,-0.329,0.64,0.969
