"Method","Trait","pval","estimate","se","lower","upper","length"
"FLOW-MR","1","1e-08",0.782,0.059,0.673,0.907,0.234
"MR-Horse","1","0.01",0.831,0.062,0.715,0.955,0.24
"MR-Horse","1","1e-04",0.859,0.053,0.76,0.972,0.212
"MR-Horse","1","1e-06",0.871,0.06,0.758,0.984,0.226
"MR-Horse","1","1e-08",0.865,0.059,0.754,0.991,0.237
"IVW","1","0.01",0.492,0.032,0.429,0.554,0.125
"IVW","1","1e-04",0.537,0.035,0.468,0.606,0.138
"IVW","1","1e-06",0.565,0.039,0.488,0.642,0.154
"IVW","1","1e-08",0.583,0.043,0.499,0.668,0.169
"GRAPPLE","1","0.01",0.88,0.06,0.764,0.997,0.233
"GRAPPLE","1","1e-04",0.882,0.06,0.764,1,0.236
"GRAPPLE","1","1e-06",0.878,0.063,0.755,1.001,0.246
"GRAPPLE","1","1e-08",0.862,0.066,0.733,0.99,0.257
"MR-Egger","1","0.01",0.529,0.054,0.424,0.634,0.21
"MR-Egger","1","1e-04",0.52,0.06,0.402,0.638,0.236
"MR-Egger","1","1e-06",0.512,0.069,0.378,0.647,0.269
"MR-Egger","1","1e-08",0.501,0.075,0.353,0.648,0.295
"MR-Robust","1","0.01",0.456,0.031,0.395,0.518,0.123
"MR-Robust","1","1e-04",0.51,0.033,0.445,0.575,0.13
"MR-Robust","1","1e-06",0.545,0.038,0.471,0.619,0.148
"MR-Robust","1","1e-08",0.57,0.042,0.488,0.652,0.164
"FLOW-MR","1","0.01",0.771,0.067,0.65,0.898,0.248
"FLOW-MR","1","1e-04",0.799,0.074,0.679,0.968,0.289
"FLOW-MR","1","1e-06",0.825,0.072,0.693,0.982,0.289
"FLOW-MR","1","1e-08",0.829,0.075,0.696,0.991,0.295
"MR-Horse","1","0.01",0.879,0.074,0.75,1.035,0.285
"MR-Horse","1","1e-04",0.861,0.071,0.732,1.013,0.281
"MR-Horse","1","1e-06",0.925,0.076,0.787,1.081,0.294
"MR-Horse","1","1e-08",0.933,0.077,0.786,1.096,0.31
"IVW","1","0.01",0.505,0.031,0.445,0.565,0.12
"IVW","1","1e-04",0.548,0.034,0.481,0.615,0.134
"IVW","1","1e-06",0.575,0.038,0.5,0.649,0.149
"IVW","1","1e-08",0.602,0.04,0.523,0.681,0.158
"GRAPPLE","1","0.01",0.931,0.062,0.81,1.052,0.242
"GRAPPLE","1","1e-04",0.923,0.063,0.8,1.046,0.246
"GRAPPLE","1","1e-06",0.894,0.064,0.769,1.019,0.25
"GRAPPLE","1","1e-08",0.885,0.063,0.761,1.009,0.248
"MR-Egger","1","0.01",0.488,0.048,0.393,0.583,0.19
"MR-Egger","1","1e-04",0.507,0.055,0.4,0.615,0.215
"MR-Egger","1","1e-06",0.509,0.061,0.388,0.629,0.241
"MR-Egger","1","1e-08",0.476,0.066,0.346,0.605,0.259
"MR-Robust","1","0.01",0.457,0.03,0.399,0.516,0.117
"MR-Robust","1","1e-04",0.505,0.033,0.441,0.569,0.128
"MR-Robust","1","1e-06",0.539,0.037,0.466,0.612,0.146
"MR-Robust","1","1e-08",0.57,0.041,0.49,0.65,0.16
"FLOW-MR","1","0.01",0.838,0.065,0.71,0.967,0.257
"FLOW-MR","1","1e-04",0.845,0.059,0.738,0.975,0.237
"FLOW-MR","1","1e-06",0.842,0.059,0.718,0.952,0.234
"FLOW-MR","1","1e-08",0.836,0.062,0.728,0.964,0.236
"MR-Horse","1","0.01",0.881,0.066,0.751,1.015,0.264
"MR-Horse","1","1e-04",0.916,0.064,0.797,1.042,0.245
"MR-Horse","1","1e-06",0.936,0.063,0.822,1.072,0.25
"MR-Horse","1","1e-08",0.927,0.057,0.82,1.046,0.226
"IVW","1","0.01",0.478,0.027,0.424,0.531,0.107
"IVW","1","1e-04",0.521,0.03,0.462,0.581,0.119
"IVW","1","1e-06",0.554,0.033,0.489,0.619,0.13
"IVW","1","1e-08",0.565,0.036,0.494,0.636,0.142
"GRAPPLE","1","0.01",0.774,0.047,0.681,0.866,0.185
"GRAPPLE","1","1e-04",0.798,0.05,0.7,0.895,0.195
"GRAPPLE","1","1e-06",0.8,0.051,0.7,0.9,0.2
"GRAPPLE","1","1e-08",0.778,0.052,0.675,0.881,0.206
"MR-Egger","1","0.01",0.445,0.042,0.363,0.528,0.165
"MR-Egger","1","1e-04",0.449,0.047,0.357,0.54,0.183
"MR-Egger","1","1e-06",0.461,0.051,0.36,0.562,0.202
"MR-Egger","1","1e-08",0.45,0.057,0.337,0.562,0.225
"MR-Robust","1","0.01",0.437,0.028,0.383,0.491,0.108
"MR-Robust","1","1e-04",0.493,0.032,0.43,0.556,0.126
"MR-Robust","1","1e-06",0.534,0.037,0.463,0.606,0.143
"MR-Robust","1","1e-08",0.551,0.04,0.474,0.629,0.155
"FLOW-MR","1","0.01",0.736,0.048,0.639,0.829,0.19
"FLOW-MR","1","1e-04",0.755,0.052,0.666,0.867,0.201
"FLOW-MR","1","1e-06",0.757,0.06,0.638,0.873,0.235
"FLOW-MR","1","1e-08",0.748,0.057,0.645,0.862,0.217
"MR-Horse","1","0.01",0.793,0.053,0.69,0.9,0.21
"MR-Horse","1","1e-04",0.828,0.05,0.738,0.929,0.191
"MR-Horse","1","1e-06",0.825,0.047,0.733,0.918,0.185
"MR-Horse","1","1e-08",0.836,0.051,0.741,0.941,0.2
"IVW","1","0.01",0.463,0.029,0.407,0.519,0.112
"IVW","1","1e-04",0.531,0.032,0.469,0.594,0.125
"IVW","1","1e-06",0.556,0.035,0.487,0.625,0.138
"IVW","1","1e-08",0.58,0.038,0.505,0.656,0.151
"GRAPPLE","1","0.01",0.731,0.047,0.639,0.824,0.185
"GRAPPLE","1","1e-04",0.822,0.052,0.72,0.924,0.204
"GRAPPLE","1","1e-06",0.808,0.054,0.702,0.913,0.211
"GRAPPLE","1","1e-08",0.817,0.057,0.705,0.929,0.224
"MR-Egger","1","0.01",0.427,0.046,0.337,0.516,0.179
"MR-Egger","1","1e-04",0.474,0.051,0.374,0.575,0.201
"MR-Egger","1","1e-06",0.466,0.057,0.355,0.577,0.222
"MR-Egger","1","1e-08",0.469,0.064,0.345,0.594,0.249
"MR-Robust","1","0.01",0.426,0.027,0.374,0.478,0.104
"MR-Robust","1","1e-04",0.496,0.029,0.44,0.552,0.112
"MR-Robust","1","1e-06",0.525,0.033,0.46,0.589,0.129
"MR-Robust","1","1e-08",0.553,0.037,0.481,0.625,0.144
"FLOW-MR","1","0.01",0.694,0.056,0.599,0.823,0.224
"FLOW-MR","1","1e-04",0.744,0.055,0.642,0.856,0.214
"FLOW-MR","1","1e-06",0.765,0.061,0.66,0.877,0.217
"FLOW-MR","1","1e-08",0.782,0.07,0.659,0.933,0.274
"MR-Horse","1","0.01",0.736,0.049,0.652,0.84,0.188
"MR-Horse","1","1e-04",0.786,0.063,0.685,0.94,0.255
"MR-Horse","1","1e-06",0.815,0.069,0.689,0.952,0.263
"MR-Horse","1","1e-08",0.831,0.065,0.711,0.965,0.254
"IVW","1","0.01",0.46,0.033,0.396,0.524,0.128
"IVW","1","1e-04",0.505,0.037,0.433,0.578,0.145
"IVW","1","1e-06",0.556,0.041,0.476,0.636,0.16
"IVW","1","1e-08",0.599,0.044,0.513,0.686,0.173
"GRAPPLE","1","0.01",0.78,0.058,0.667,0.893,0.226
"GRAPPLE","1","1e-04",0.798,0.061,0.678,0.918,0.24
"GRAPPLE","1","1e-06",0.827,0.064,0.701,0.953,0.252
"GRAPPLE","1","1e-08",0.872,0.069,0.737,1.007,0.27
"MR-Egger","1","0.01",0.413,0.051,0.313,0.513,0.2
"MR-Egger","1","1e-04",0.433,0.059,0.317,0.548,0.231
"MR-Egger","1","1e-06",0.473,0.066,0.343,0.602,0.259
"MR-Egger","1","1e-08",0.493,0.074,0.348,0.639,0.291
"MR-Robust","1","0.01",0.421,0.03,0.362,0.48,0.118
"MR-Robust","1","1e-04",0.472,0.033,0.408,0.535,0.127
"MR-Robust","1","1e-06",0.517,0.033,0.452,0.582,0.13
"MR-Robust","1","1e-08",0.556,0.036,0.485,0.627,0.142
"FLOW-MR","1","0.01",0.757,0.072,0.63,0.909,0.279
"FLOW-MR","1","1e-04",0.791,0.069,0.667,0.932,0.265
"FLOW-MR","1","1e-06",0.818,0.065,0.709,0.941,0.232
"FLOW-MR","1","1e-08",0.857,0.087,0.691,1.034,0.343
"MR-Horse","1","0.01",0.847,0.07,0.714,0.994,0.28
"MR-Horse","1","1e-04",0.897,0.089,0.741,1.081,0.34
"MR-Horse","1","1e-06",0.919,0.084,0.776,1.104,0.328
"MR-Horse","1","1e-08",0.981,0.081,0.825,1.145,0.32
"IVW","1","0.01",0.454,0.032,0.391,0.517,0.126
"IVW","1","1e-04",0.511,0.036,0.441,0.58,0.139
"IVW","1","1e-06",0.528,0.039,0.452,0.605,0.153
"IVW","1","1e-08",0.563,0.042,0.481,0.644,0.163
"GRAPPLE","1","0.01",0.746,0.053,0.642,0.85,0.208
"GRAPPLE","1","1e-04",0.781,0.055,0.674,0.889,0.215
"GRAPPLE","1","1e-06",0.749,0.056,0.64,0.858,0.218
"GRAPPLE","1","1e-08",0.757,0.057,0.645,0.869,0.224
"MR-Egger","1","0.01",0.446,0.051,0.345,0.546,0.201
"MR-Egger","1","1e-04",0.471,0.058,0.358,0.585,0.227
"MR-Egger","1","1e-06",0.458,0.065,0.33,0.586,0.256
"MR-Egger","1","1e-08",0.457,0.072,0.316,0.599,0.283
"MR-Robust","1","0.01",0.424,0.03,0.365,0.483,0.118
"MR-Robust","1","1e-04",0.484,0.031,0.424,0.543,0.119
"MR-Robust","1","1e-06",0.502,0.032,0.44,0.564,0.124
"MR-Robust","1","1e-08",0.533,0.031,0.472,0.594,0.122
"FLOW-MR","1","0.01",0.717,0.057,0.619,0.839,0.22
"FLOW-MR","1","1e-04",0.743,0.069,0.635,0.891,0.256
"FLOW-MR","1","1e-06",0.74,0.054,0.638,0.854,0.216
"FLOW-MR","1","1e-08",0.763,0.061,0.653,0.892,0.239
"MR-Horse","1","0.01",0.789,0.055,0.684,0.905,0.221
"MR-Horse","1","1e-04",0.814,0.06,0.703,0.932,0.229
"MR-Horse","1","1e-06",0.809,0.061,0.69,0.923,0.233
"MR-Horse","1","1e-08",0.804,0.061,0.697,0.933,0.236
"IVW","1","0.01",0.485,0.03,0.427,0.543,0.116
"IVW","1","1e-04",0.551,0.032,0.487,0.614,0.127
"IVW","1","1e-06",0.585,0.035,0.516,0.654,0.138
"IVW","1","1e-08",0.621,0.038,0.546,0.696,0.15
"GRAPPLE","1","0.01",0.825,0.053,0.72,0.929,0.209
"GRAPPLE","1","1e-04",0.886,0.055,0.779,0.994,0.215
"GRAPPLE","1","1e-06",0.877,0.055,0.769,0.985,0.216
"GRAPPLE","1","1e-08",0.898,0.058,0.786,1.011,0.225
"MR-Egger","1","0.01",0.504,0.048,0.41,0.598,0.188
"MR-Egger","1","1e-04",0.523,0.052,0.42,0.626,0.206
"MR-Egger","1","1e-06",0.523,0.058,0.41,0.635,0.225
"MR-Egger","1","1e-08",0.531,0.065,0.405,0.658,0.253
"MR-Robust","1","0.01",0.442,0.03,0.384,0.5,0.116
"MR-Robust","1","1e-04",0.518,0.033,0.453,0.584,0.131
"MR-Robust","1","1e-06",0.562,0.038,0.488,0.636,0.148
"MR-Robust","1","1e-08",0.603,0.041,0.522,0.684,0.162
"FLOW-MR","1","0.01",0.791,0.059,0.686,0.91,0.224
"FLOW-MR","1","1e-04",0.838,0.057,0.732,0.949,0.217
"FLOW-MR","1","1e-06",0.818,0.057,0.716,0.947,0.231
"FLOW-MR","1","1e-08",0.836,0.065,0.723,0.971,0.248
"MR-Horse","1","0.01",0.828,0.066,0.702,0.96,0.258
"MR-Horse","1","1e-04",0.881,0.058,0.765,0.993,0.228
"MR-Horse","1","1e-06",0.878,0.058,0.772,1.008,0.236
"MR-Horse","1","1e-08",0.901,0.063,0.785,1.034,0.249
"IVW","1","0.01",0.424,0.029,0.366,0.482,0.116
"IVW","1","1e-04",0.461,0.033,0.397,0.525,0.128
"IVW","1","1e-06",0.495,0.036,0.424,0.566,0.142
"IVW","1","1e-08",0.517,0.04,0.439,0.595,0.156
"GRAPPLE","1","0.01",0.635,0.043,0.551,0.719,0.168
"GRAPPLE","1","1e-04",0.652,0.046,0.562,0.741,0.179
"GRAPPLE","1","1e-06",0.675,0.049,0.579,0.77,0.191
"GRAPPLE","1","1e-08",0.684,0.052,0.582,0.786,0.204
"MR-Egger","1","0.01",0.43,0.05,0.331,0.529,0.198
"MR-Egger","1","1e-04",0.428,0.058,0.315,0.54,0.225
"MR-Egger","1","1e-06",0.41,0.065,0.284,0.537,0.253
"MR-Egger","1","1e-08",0.39,0.072,0.25,0.531,0.281
"MR-Robust","1","0.01",0.399,0.029,0.342,0.456,0.114
"MR-Robust","1","1e-04",0.439,0.031,0.379,0.499,0.12
"MR-Robust","1","1e-06",0.476,0.032,0.412,0.54,0.128
"MR-Robust","1","1e-08",0.502,0.036,0.433,0.572,0.139
"FLOW-MR","1","0.01",0.633,0.05,0.54,0.729,0.189
"FLOW-MR","1","1e-04",0.651,0.05,0.564,0.76,0.196
"FLOW-MR","1","1e-06",0.676,0.054,0.578,0.785,0.207
"FLOW-MR","1","1e-08",0.709,0.054,0.604,0.812,0.208
"MR-Horse","1","0.01",0.688,0.054,0.597,0.806,0.209
"MR-Horse","1","1e-04",0.712,0.054,0.616,0.832,0.216
"MR-Horse","1","1e-06",0.714,0.057,0.62,0.842,0.222
"MR-Horse","1","1e-08",0.732,0.057,0.631,0.851,0.22
"IVW","1","0.01",0.479,0.03,0.42,0.538,0.118
"IVW","1","1e-04",0.515,0.033,0.45,0.58,0.13
"IVW","1","1e-06",0.571,0.036,0.501,0.641,0.14
"IVW","1","1e-08",0.597,0.039,0.521,0.673,0.152
"GRAPPLE","1","0.01",0.821,0.053,0.718,0.924,0.206
"GRAPPLE","1","1e-04",0.814,0.053,0.711,0.918,0.207
"GRAPPLE","1","1e-06",0.861,0.055,0.754,0.968,0.214
"GRAPPLE","1","1e-08",0.866,0.057,0.755,0.977,0.222
"MR-Egger","1","0.01",0.55,0.047,0.457,0.642,0.185
"MR-Egger","1","1e-04",0.571,0.053,0.467,0.675,0.208
"MR-Egger","1","1e-06",0.617,0.057,0.506,0.727,0.221
"MR-Egger","1","1e-08",0.656,0.063,0.532,0.78,0.248
"MR-Robust","1","0.01",0.445,0.032,0.381,0.508,0.127
"MR-Robust","1","1e-04",0.494,0.037,0.421,0.567,0.146
"MR-Robust","1","1e-06",0.557,0.041,0.477,0.637,0.16
"MR-Robust","1","1e-08",0.592,0.044,0.505,0.679,0.174
"FLOW-MR","1","0.01",0.79,0.059,0.678,0.907,0.229
"FLOW-MR","1","1e-04",0.782,0.054,0.681,0.887,0.206
"FLOW-MR","1","1e-06",0.795,0.06,0.684,0.913,0.229
"FLOW-MR","1","1e-08",0.798,0.069,0.681,0.942,0.261
"MR-Horse","1","0.01",0.836,0.057,0.721,0.943,0.222
"MR-Horse","1","1e-04",0.837,0.049,0.745,0.936,0.191
"MR-Horse","1","1e-06",0.847,0.055,0.747,0.959,0.212
"MR-Horse","1","1e-08",0.87,0.057,0.769,0.994,0.225
"IVW","1","0.01",0.498,0.034,0.432,0.564,0.132
"IVW","1","1e-04",0.55,0.038,0.476,0.624,0.148
"IVW","1","1e-06",0.599,0.042,0.517,0.681,0.164
"IVW","1","1e-08",0.641,0.046,0.55,0.731,0.181
"GRAPPLE","1","0.01",0.951,0.068,0.819,1.084,0.265
"GRAPPLE","1","1e-04",0.982,0.07,0.844,1.12,0.276
"GRAPPLE","1","1e-06",1,0.073,0.857,1.142,0.285
"GRAPPLE","1","1e-08",1.036,0.078,0.883,1.189,0.306
"MR-Egger","1","0.01",0.42,0.056,0.309,0.53,0.221
"MR-Egger","1","1e-04",0.411,0.064,0.287,0.536,0.249
"MR-Egger","1","1e-06",0.415,0.073,0.272,0.557,0.285
"MR-Egger","1","1e-08",0.446,0.081,0.288,0.605,0.317
"MR-Robust","1","0.01",0.457,0.034,0.391,0.524,0.133
"MR-Robust","1","1e-04",0.519,0.039,0.442,0.596,0.154
"MR-Robust","1","1e-06",0.57,0.041,0.49,0.65,0.16
"MR-Robust","1","1e-08",0.618,0.046,0.528,0.708,0.18
"FLOW-MR","1","0.01",0.793,0.082,0.649,0.954,0.305
"FLOW-MR","1","1e-04",0.872,0.081,0.726,1.045,0.319
"FLOW-MR","1","1e-06",0.918,0.073,0.778,1.057,0.279
"FLOW-MR","1","1e-08",0.949,0.082,0.803,1.126,0.323
"MR-Horse","1","0.01",0.873,0.074,0.722,1.031,0.309
"MR-Horse","1","1e-04",0.951,0.092,0.782,1.138,0.356
"MR-Horse","1","1e-06",0.979,0.08,0.833,1.14,0.307
"MR-Horse","1","1e-08",1.02,0.082,0.862,1.189,0.327
"IVW","1","0.01",0.508,0.033,0.444,0.572,0.128
"IVW","1","1e-04",0.544,0.037,0.472,0.616,0.144
"IVW","1","1e-06",0.579,0.04,0.501,0.658,0.157
"IVW","1","1e-08",0.596,0.044,0.51,0.681,0.171
"GRAPPLE","1","0.01",0.961,0.064,0.836,1.086,0.25
"GRAPPLE","1","1e-04",0.924,0.064,0.799,1.049,0.25
"GRAPPLE","1","1e-06",0.903,0.064,0.778,1.028,0.25
"GRAPPLE","1","1e-08",0.877,0.066,0.749,1.006,0.257
"MR-Egger","1","0.01",0.522,0.051,0.422,0.623,0.201
"MR-Egger","1","1e-04",0.536,0.059,0.419,0.652,0.233
"MR-Egger","1","1e-06",0.562,0.066,0.432,0.692,0.26
"MR-Egger","1","1e-08",0.582,0.075,0.435,0.73,0.295
"MR-Robust","1","0.01",0.489,0.033,0.424,0.554,0.13
"MR-Robust","1","1e-04",0.532,0.036,0.462,0.602,0.14
"MR-Robust","1","1e-06",0.566,0.036,0.495,0.636,0.141
"MR-Robust","1","1e-08",0.583,0.038,0.509,0.657,0.148
"FLOW-MR","1","0.01",0.84,0.065,0.72,0.977,0.257
"FLOW-MR","1","1e-04",0.852,0.075,0.73,1.022,0.292
"FLOW-MR","1","1e-06",0.852,0.069,0.722,0.995,0.273
"FLOW-MR","1","1e-08",0.852,0.066,0.721,0.981,0.26
"MR-Horse","1","0.01",0.901,0.067,0.783,1.047,0.264
"MR-Horse","1","1e-04",0.914,0.065,0.792,1.054,0.262
"MR-Horse","1","1e-06",0.93,0.074,0.802,1.085,0.283
"MR-Horse","1","1e-08",0.951,0.078,0.81,1.103,0.293
"IVW","1","0.01",0.457,0.029,0.401,0.513,0.112
"IVW","1","1e-04",0.49,0.032,0.428,0.551,0.123
"IVW","1","1e-06",0.529,0.035,0.461,0.598,0.137
"IVW","1","1e-08",0.564,0.039,0.488,0.64,0.152
"GRAPPLE","1","0.01",0.686,0.043,0.601,0.771,0.17
"GRAPPLE","1","1e-04",0.68,0.044,0.594,0.767,0.173
"GRAPPLE","1","1e-06",0.718,0.048,0.625,0.812,0.187
"GRAPPLE","1","1e-08",0.767,0.053,0.662,0.871,0.209
"MR-Egger","1","0.01",0.427,0.046,0.337,0.518,0.181
"MR-Egger","1","1e-04",0.396,0.052,0.294,0.498,0.204
"MR-Egger","1","1e-06",0.402,0.058,0.289,0.516,0.227
"MR-Egger","1","1e-08",0.398,0.066,0.269,0.527,0.258
"MR-Robust","1","0.01",0.415,0.026,0.364,0.466,0.102
"MR-Robust","1","1e-04",0.452,0.028,0.397,0.507,0.11
"MR-Robust","1","1e-06",0.493,0.031,0.433,0.554,0.121
"MR-Robust","1","1e-08",0.53,0.034,0.463,0.597,0.134
"FLOW-MR","1","0.01",0.684,0.054,0.591,0.795,0.204
"FLOW-MR","1","1e-04",0.687,0.049,0.594,0.784,0.19
"FLOW-MR","1","1e-06",0.719,0.056,0.607,0.828,0.221
"FLOW-MR","1","1e-08",0.764,0.067,0.634,0.891,0.257
"MR-Horse","1","0.01",0.74,0.048,0.655,0.837,0.182
"MR-Horse","1","1e-04",0.744,0.05,0.649,0.847,0.198
"MR-Horse","1","1e-06",0.776,0.055,0.677,0.888,0.211
"MR-Horse","1","1e-08",0.802,0.058,0.695,0.918,0.223
"IVW","1","0.01",0.468,0.029,0.411,0.524,0.113
"IVW","1","1e-04",0.519,0.032,0.457,0.582,0.125
"IVW","1","1e-06",0.547,0.035,0.478,0.615,0.137
"IVW","1","1e-08",0.587,0.038,0.512,0.661,0.149
"GRAPPLE","1","0.01",0.782,0.051,0.683,0.882,0.199
"GRAPPLE","1","1e-04",0.813,0.053,0.709,0.917,0.208
"GRAPPLE","1","1e-06",0.792,0.053,0.688,0.896,0.208
"GRAPPLE","1","1e-08",0.835,0.057,0.724,0.946,0.222
"MR-Egger","1","0.01",0.464,0.044,0.377,0.55,0.173
"MR-Egger","1","1e-04",0.5,0.05,0.401,0.598,0.197
"MR-Egger","1","1e-06",0.48,0.058,0.367,0.593,0.226
"MR-Egger","1","1e-08",0.478,0.064,0.354,0.603,0.249
"MR-Robust","1","0.01",0.42,0.027,0.367,0.474,0.107
"MR-Robust","1","1e-04",0.477,0.031,0.416,0.539,0.123
"MR-Robust","1","1e-06",0.509,0.034,0.443,0.576,0.133
"MR-Robust","1","1e-08",0.557,0.04,0.479,0.635,0.156
"FLOW-MR","1","0.01",0.756,0.055,0.647,0.862,0.215
"FLOW-MR","1","1e-04",0.757,0.062,0.642,0.884,0.242
"FLOW-MR","1","1e-06",0.77,0.054,0.667,0.878,0.211
"FLOW-MR","1","1e-08",0.787,0.063,0.663,0.916,0.253
"MR-Horse","1","0.01",0.789,0.057,0.677,0.906,0.229
"MR-Horse","1","1e-04",0.822,0.061,0.698,0.936,0.238
"MR-Horse","1","1e-06",0.842,0.055,0.733,0.953,0.22
"MR-Horse","1","1e-08",0.875,0.059,0.756,0.992,0.236
"IVW","1","0.01",0.5,0.033,0.436,0.564,0.128
"IVW","1","1e-04",0.554,0.036,0.483,0.625,0.142
"IVW","1","1e-06",0.575,0.04,0.497,0.652,0.155
"IVW","1","1e-08",0.589,0.044,0.504,0.675,0.171
"GRAPPLE","1","0.01",0.929,0.066,0.8,1.058,0.258
"GRAPPLE","1","1e-04",0.948,0.067,0.817,1.078,0.261
"GRAPPLE","1","1e-06",0.9,0.066,0.771,1.03,0.259
"GRAPPLE","1","1e-08",0.876,0.069,0.741,1.012,0.271
"MR-Egger","1","0.01",0.599,0.051,0.5,0.698,0.198
"MR-Egger","1","1e-04",0.609,0.056,0.498,0.719,0.221
"MR-Egger","1","1e-06",0.587,0.063,0.463,0.71,0.247
"MR-Egger","1","1e-08",0.581,0.071,0.443,0.72,0.277
"MR-Robust","1","0.01",0.47,0.037,0.396,0.543,0.147
"MR-Robust","1","1e-04",0.538,0.041,0.458,0.619,0.161
"MR-Robust","1","1e-06",0.566,0.045,0.479,0.654,0.175
"MR-Robust","1","1e-08",0.586,0.048,0.491,0.68,0.189
"FLOW-MR","1","0.01",0.863,0.064,0.732,0.991,0.259
"FLOW-MR","1","1e-04",0.869,0.072,0.74,1.025,0.285
"FLOW-MR","1","1e-06",0.856,0.072,0.736,1.008,0.272
"FLOW-MR","1","1e-08",0.851,0.066,0.737,0.99,0.253
"MR-Horse","1","0.01",0.959,0.066,0.827,1.082,0.255
"MR-Horse","1","1e-04",0.973,0.067,0.851,1.116,0.265
"MR-Horse","1","1e-06",0.968,0.068,0.847,1.106,0.259
"MR-Horse","1","1e-08",0.959,0.06,0.848,1.087,0.239
"IVW","1","0.01",0.482,0.031,0.422,0.542,0.12
"IVW","1","1e-04",0.506,0.034,0.439,0.574,0.135
"IVW","1","1e-06",0.547,0.037,0.474,0.62,0.146
"IVW","1","1e-08",0.576,0.041,0.496,0.657,0.161
"GRAPPLE","1","0.01",0.866,0.059,0.75,0.982,0.232
"GRAPPLE","1","1e-04",0.817,0.059,0.701,0.933,0.232
"GRAPPLE","1","1e-06",0.827,0.06,0.71,0.944,0.234
"GRAPPLE","1","1e-08",0.856,0.064,0.73,0.982,0.252
"MR-Egger","1","0.01",0.441,0.049,0.346,0.537,0.191
"MR-Egger","1","1e-04",0.428,0.055,0.32,0.536,0.216
"MR-Egger","1","1e-06",0.42,0.061,0.301,0.54,0.239
"MR-Egger","1","1e-08",0.42,0.068,0.287,0.554,0.267
"MR-Robust","1","0.01",0.437,0.031,0.376,0.497,0.121
"MR-Robust","1","1e-04",0.468,0.035,0.399,0.536,0.137
"MR-Robust","1","1e-06",0.514,0.039,0.436,0.591,0.155
"MR-Robust","1","1e-08",0.552,0.046,0.462,0.641,0.179
"FLOW-MR","1","0.01",0.743,0.063,0.624,0.864,0.24
"FLOW-MR","1","1e-04",0.756,0.065,0.633,0.879,0.246
"FLOW-MR","1","1e-06",0.768,0.061,0.651,0.887,0.236
"FLOW-MR","1","1e-08",0.794,0.071,0.677,0.949,0.272
"MR-Horse","1","0.01",0.793,0.063,0.68,0.927,0.247
"MR-Horse","1","1e-04",0.81,0.067,0.692,0.953,0.261
"MR-Horse","1","1e-06",0.837,0.075,0.698,0.993,0.295
"MR-Horse","1","1e-08",0.861,0.076,0.73,1.029,0.299
"IVW","1","0.01",0.483,0.03,0.424,0.543,0.119
"IVW","1","1e-04",0.545,0.033,0.481,0.61,0.129
"IVW","1","1e-06",0.576,0.036,0.506,0.647,0.141
"IVW","1","1e-08",0.598,0.039,0.521,0.675,0.154
"GRAPPLE","1","0.01",0.838,0.055,0.731,0.946,0.215
"GRAPPLE","1","1e-04",0.882,0.056,0.772,0.991,0.219
"GRAPPLE","1","1e-06",0.865,0.057,0.754,0.976,0.222
"GRAPPLE","1","1e-08",0.853,0.059,0.738,0.967,0.229
"MR-Egger","1","0.01",0.481,0.047,0.389,0.574,0.185
"MR-Egger","1","1e-04",0.502,0.051,0.403,0.601,0.198
"MR-Egger","1","1e-06",0.505,0.056,0.396,0.614,0.218
"MR-Egger","1","1e-08",0.502,0.062,0.38,0.624,0.244
"MR-Robust","1","0.01",0.448,0.031,0.387,0.508,0.121
"MR-Robust","1","1e-04",0.512,0.032,0.448,0.576,0.128
"MR-Robust","1","1e-06",0.547,0.036,0.478,0.617,0.139
"MR-Robust","1","1e-08",0.575,0.038,0.5,0.65,0.15
"FLOW-MR","1","0.01",0.776,0.066,0.657,0.924,0.267
"FLOW-MR","1","1e-04",0.812,0.056,0.708,0.927,0.219
"FLOW-MR","1","1e-06",0.8,0.065,0.689,0.937,0.248
"FLOW-MR","1","1e-08",0.815,0.066,0.698,0.964,0.266
"MR-Horse","1","0.01",0.839,0.064,0.722,0.967,0.245
"MR-Horse","1","1e-04",0.858,0.063,0.74,0.983,0.243
"MR-Horse","1","1e-06",0.877,0.057,0.774,0.997,0.223
"MR-Horse","1","1e-08",0.895,0.057,0.78,1.015,0.235
"IVW","1","0.01",0.508,0.03,0.45,0.566,0.116
"IVW","1","1e-04",0.545,0.033,0.481,0.61,0.129
"IVW","1","1e-06",0.594,0.035,0.524,0.663,0.139
"IVW","1","1e-08",0.634,0.038,0.559,0.708,0.149
"GRAPPLE","1","0.01",0.91,0.058,0.796,1.024,0.228
"GRAPPLE","1","1e-04",0.893,0.058,0.779,1.007,0.228
"GRAPPLE","1","1e-06",0.933,0.06,0.816,1.05,0.234
"GRAPPLE","1","1e-08",0.952,0.063,0.829,1.075,0.246
"MR-Egger","1","0.01",0.5,0.048,0.407,0.594,0.187
"MR-Egger","1","1e-04",0.499,0.055,0.392,0.606,0.214
"MR-Egger","1","1e-06",0.492,0.058,0.378,0.607,0.229
"MR-Egger","1","1e-08",0.499,0.062,0.377,0.621,0.244
"MR-Robust","1","0.01",0.464,0.033,0.399,0.528,0.129
"MR-Robust","1","1e-04",0.511,0.037,0.437,0.584,0.147
"MR-Robust","1","1e-06",0.568,0.043,0.485,0.652,0.167
